TIME=15:56:12:046526295, total_Total= 10916 , total_CPU= 842 , total_GPU= 5972 , io_Total= 459 , io_CPU= 53 , io_GPU= 280 , sleep_Total= 13 , sleep_CPU= 0 , sleep_GPU= 0 , temp_CPU= 37000 , temp_GPU= 34500
TIME=15:56:12:075567612, total_Total= 9081 , total_CPU= 1609 , total_GPU= 3600 , io_Total= 421 , io_CPU= 40 , io_GPU= 280 , sleep_Total= 13 , sleep_CPU= 0 , sleep_GPU= 0 , temp_CPU= 36500 , temp_GPU= 34500
TIME=15:56:12:106300010, total_Total= 8966 , total_CPU= 1839 , total_GPU= 3677 , io_Total= 460 , io_CPU= 40 , io_GPU= 280 , sleep_Total= 13 , sleep_CPU= 0 , sleep_GPU= 0 , temp_CPU= 37000 , temp_GPU= 34000
TIME=15:56:12:133416652, total_Total= 10954 , total_CPU= 1685 , total_GPU= 5740 , io_Total= 421 , io_CPU= 40 , io_GPU= 280 , sleep_Total= 13 , sleep_CPU= 0 , sleep_GPU= 0 , temp_CPU= 37500 , temp_GPU= 35000
TIME=15:56:12:159432416, total_Total= 11677 , total_CPU= 1685 , total_GPU= 6046 , io_Total= 421 , io_CPU= 40 , io_GPU= 280 , sleep_Total= 13 , sleep_CPU= 0 , sleep_GPU= 0 , temp_CPU= 37500 , temp_GPU= 35000
TIME=15:56:12:186776608, total_Total= 10380 , total_CPU= 1916 , total_GPU= 4288 , io_Total= 460 , io_CPU= 40 , io_GPU= 280 , sleep_Total= 13 , sleep_CPU= 0 , sleep_GPU= 0 , temp_CPU= 37500 , temp_GPU= 34500
TIME=15:56:12:216482295, total_Total= 8698 , total_CPU= 2223 , total_GPU= 2682 , io_Total= 460 , io_CPU= 40 , io_GPU= 280 , sleep_Total= 13 , sleep_CPU= 0 , sleep_GPU= 0 , temp_CPU= 37000 , temp_GPU= 34000
TIME=15:56:12:246764853, total_Total= 9959 , total_CPU= 1991 , total_GPU= 4824 , io_Total= 459 , io_CPU= 53 , io_GPU= 280 , sleep_Total= 13 , sleep_CPU= 0 , sleep_GPU= 0 , temp_CPU= 37500 , temp_GPU= 35000
TIME=15:56:12:274917061, total_Total= 11716 , total_CPU= 1761 , total_GPU= 6200 , io_Total= 459 , io_CPU= 53 , io_GPU= 280 , sleep_Total= 13 , sleep_CPU= 0 , sleep_GPU= 0 , temp_CPU= 37500 , temp_GPU= 35000
TIME=15:56:12:301584851, total_Total= 11261 , total_CPU= 1838 , total_GPU= 5360 , io_Total= 421 , io_CPU= 53 , io_GPU= 280 , sleep_Total= 13 , sleep_CPU= 0 , sleep_GPU= 0 , temp_CPU= 37500 , temp_GPU= 35000
TIME=15:56:12:330547158, total_Total= 9158 , total_CPU= 2145 , total_GPU= 3294 , io_Total= 460 , io_CPU= 40 , io_GPU= 280 , sleep_Total= 13 , sleep_CPU= 0 , sleep_GPU= 0 , temp_CPU= 36500 , temp_GPU= 34000
TIME=15:56:12:361926063, total_Total= 9273 , total_CPU= 2069 , total_GPU= 4290 , io_Total= 421 , io_CPU= 39 , io_GPU= 280 , sleep_Total= 13 , sleep_CPU= 0 , sleep_GPU= 0 , temp_CPU= 37000 , temp_GPU= 34000
TIME=15:56:12:388531823, total_Total= 11448 , total_CPU= 1837 , total_GPU= 6123 , io_Total= 421 , io_CPU= 39 , io_GPU= 280 , sleep_Total= 13 , sleep_CPU= 0 , sleep_GPU= 0 , temp_CPU= 38000 , temp_GPU= 35000
TIME=15:56:12:414798314, total_Total= 11677 , total_CPU= 1761 , total_GPU= 6123 , io_Total= 421 , io_CPU= 53 , io_GPU= 280 , sleep_Total= 13 , sleep_CPU= 0 , sleep_GPU= 0 , temp_CPU= 37500 , temp_GPU= 35000
TIME=15:56:12:460047959, total_Total= 8545 , total_CPU= 2070 , total_GPU= 2682 , io_Total= 421 , io_CPU= 53 , io_GPU= 280 , sleep_Total= 13 , sleep_CPU= 0 , sleep_GPU= 0 , temp_CPU= 36500 , temp_GPU= 33500
