TIME=16:04:25:770566593, total_Total= 7820 , total_CPU= 920 , total_GPU= 2912 , io_Total= 460 , io_CPU= 39 , io_GPU= 280 , sleep_Total= 13 , sleep_CPU= 0 , sleep_GPU= 0 , temp_CPU= 38000 , temp_GPU= 34500
TIME=16:04:25:799564482, total_Total= 7018 , total_CPU= 1610 , total_GPU= 1610 , io_Total= 421 , io_CPU= 40 , io_GPU= 280 , sleep_Total= 13 , sleep_CPU= 0 , sleep_GPU= 0 , temp_CPU= 39000 , temp_GPU= 34500
TIME=16:04:25:828701277, total_Total= 7130 , total_CPU= 1994 , total_GPU= 1686 , io_Total= 421 , io_CPU= 40 , io_GPU= 280 , sleep_Total= 13 , sleep_CPU= 0 , sleep_GPU= 0 , temp_CPU= 38500 , temp_GPU= 35000
TIME=16:04:25:854886220, total_Total= 7820 , total_CPU= 1840 , total_GPU= 2145 , io_Total= 460 , io_CPU= 40 , io_GPU= 280 , sleep_Total= 13 , sleep_CPU= 0 , sleep_GPU= 0 , temp_CPU= 38500 , temp_GPU= 35000
TIME=16:04:25:881499233, total_Total= 8280 , total_CPU= 1763 , total_GPU= 2452 , io_Total= 421 , io_CPU= 39 , io_GPU= 280 , sleep_Total= 13 , sleep_CPU= 0 , sleep_GPU= 0 , temp_CPU= 38000 , temp_GPU= 35000
TIME=16:04:25:905760442, total_Total= 8433 , total_CPU= 1686 , total_GPU= 2682 , io_Total= 421 , io_CPU= 53 , io_GPU= 280 , sleep_Total= 13 , sleep_CPU= 0 , sleep_GPU= 0 , temp_CPU= 38500 , temp_GPU= 35000
TIME=16:04:25:930075974, total_Total= 8775 , total_CPU= 1686 , total_GPU= 2988 , io_Total= 460 , io_CPU= 53 , io_GPU= 280 , sleep_Total= 13 , sleep_CPU= 0 , sleep_GPU= 0 , temp_CPU= 38500 , temp_GPU= 35000
TIME=16:04:25:954027758, total_Total= 8736 , total_CPU= 1686 , total_GPU= 3065 , io_Total= 460 , io_CPU= 39 , io_GPU= 280 , sleep_Total= 13 , sleep_CPU= 0 , sleep_GPU= 0 , temp_CPU= 38500 , temp_GPU= 35500
TIME=16:04:25:978042407, total_Total= 8890 , total_CPU= 1686 , total_GPU= 3294 , io_Total= 460 , io_CPU= 39 , io_GPU= 280 , sleep_Total= 13 , sleep_CPU= 0 , sleep_GPU= 0 , temp_CPU= 38500 , temp_GPU= 35500
TIME=16:04:26:002438198, total_Total= 8928 , total_CPU= 1686 , total_GPU= 3447 , io_Total= 460 , io_CPU= 40 , io_GPU= 280 , sleep_Total= 13 , sleep_CPU= 0 , sleep_GPU= 0 , temp_CPU= 38500 , temp_GPU= 35500
TIME=16:04:26:027156955, total_Total= 9043 , total_CPU= 1686 , total_GPU= 3523 , io_Total= 421 , io_CPU= 40 , io_GPU= 280 , sleep_Total= 13 , sleep_CPU= 0 , sleep_GPU= 0 , temp_CPU= 38500 , temp_GPU= 35500
TIME=16:04:26:053066537, total_Total= 8280 , total_CPU= 1916 , total_GPU= 2682 , io_Total= 421 , io_CPU= 40 , io_GPU= 280 , sleep_Total= 13 , sleep_CPU= 0 , sleep_GPU= 0 , temp_CPU= 38500 , temp_GPU= 35000
TIME=16:04:26:081675262, total_Total= 7245 , total_CPU= 2147 , total_GPU= 1533 , io_Total= 421 , io_CPU= 40 , io_GPU= 280 , sleep_Total= 13 , sleep_CPU= 0 , sleep_GPU= 0 , temp_CPU= 38000 , temp_GPU= 35000
TIME=16:04:26:110558986, total_Total= 7475 , total_CPU= 2223 , total_GPU= 1686 , io_Total= 460 , io_CPU= 53 , io_GPU= 280 , sleep_Total= 13 , sleep_CPU= 0 , sleep_GPU= 0 , temp_CPU= 38500 , temp_GPU= 35000
TIME=16:04:26:137363403, total_Total= 8050 , total_CPU= 1993 , total_GPU= 2299 , io_Total= 460 , io_CPU= 40 , io_GPU= 280 , sleep_Total= 13 , sleep_CPU= 0 , sleep_GPU= 0 , temp_CPU= 39000 , temp_GPU= 35000
TIME=16:04:26:162899915, total_Total= 8318 , total_CPU= 1916 , total_GPU= 2529 , io_Total= 460 , io_CPU= 40 , io_GPU= 280 , sleep_Total= 13 , sleep_CPU= 0 , sleep_GPU= 0 , temp_CPU= 38500 , temp_GPU= 35000
TIME=16:04:26:188204969, total_Total= 8545 , total_CPU= 1763 , total_GPU= 2759 , io_Total= 460 , io_CPU= 40 , io_GPU= 280 , sleep_Total= 13 , sleep_CPU= 0 , sleep_GPU= 0 , temp_CPU= 39000 , temp_GPU= 35000
TIME=16:04:26:213000862, total_Total= 8736 , total_CPU= 1763 , total_GPU= 3065 , io_Total= 460 , io_CPU= 39 , io_GPU= 280 , sleep_Total= 0 , sleep_CPU= 0 , sleep_GPU= 0 , temp_CPU= 39000 , temp_GPU= 35000
TIME=16:04:26:236959521, total_Total= 8736 , total_CPU= 1686 , total_GPU= 3142 , io_Total= 421 , io_CPU= 39 , io_GPU= 280 , sleep_Total= 13 , sleep_CPU= 0 , sleep_GPU= 0 , temp_CPU= 39000 , temp_GPU= 35000
TIME=16:04:26:261322292, total_Total= 8890 , total_CPU= 1686 , total_GPU= 3294 , io_Total= 421 , io_CPU= 40 , io_GPU= 280 , sleep_Total= 13 , sleep_CPU= 0 , sleep_GPU= 0 , temp_CPU= 39000 , temp_GPU= 35500
TIME=16:04:26:285631000, total_Total= 9120 , total_CPU= 1609 , total_GPU= 3523 , io_Total= 421 , io_CPU= 53 , io_GPU= 280 , sleep_Total= 13 , sleep_CPU= 0 , sleep_GPU= 0 , temp_CPU= 39000 , temp_GPU= 35500
TIME=16:04:26:310208092, total_Total= 9043 , total_CPU= 1609 , total_GPU= 3600 , io_Total= 421 , io_CPU= 53 , io_GPU= 280 , sleep_Total= 13 , sleep_CPU= 0 , sleep_GPU= 0 , temp_CPU= 39000 , temp_GPU= 35500
TIME=16:04:26:343895423, total_Total= 7705 , total_CPU= 1993 , total_GPU= 2069 , io_Total= 460 , io_CPU= 40 , io_GPU= 280 , sleep_Total= 13 , sleep_CPU= 0 , sleep_GPU= 0 , temp_CPU= 38000 , temp_GPU= 35000
TIME=16:04:26:374251843, total_Total= 7207 , total_CPU= 2224 , total_GPU= 1610 , io_Total= 460 , io_CPU= 40 , io_GPU= 280 , sleep_Total= 13 , sleep_CPU= 0 , sleep_GPU= 0 , temp_CPU= 38500 , temp_GPU= 35000
TIME=16:04:26:400000435, total_Total= 7743 , total_CPU= 2070 , total_GPU= 1992 , io_Total= 421 , io_CPU= 39 , io_GPU= 280 , sleep_Total= 13 , sleep_CPU= 0 , sleep_GPU= 0 , temp_CPU= 38500 , temp_GPU= 35000
TIME=16:04:26:425381739, total_Total= 8395 , total_CPU= 1840 , total_GPU= 2452 , io_Total= 460 , io_CPU= 39 , io_GPU= 280 , sleep_Total= 13 , sleep_CPU= 0 , sleep_GPU= 0 , temp_CPU= 39000 , temp_GPU= 35500
TIME=16:04:26:450947834, total_Total= 8545 , total_CPU= 1763 , total_GPU= 2682 , io_Total= 421 , io_CPU= 39 , io_GPU= 280 , sleep_Total= 13 , sleep_CPU= 0 , sleep_GPU= 0 , temp_CPU= 38500 , temp_GPU= 35500
TIME=16:04:26:475204355, total_Total= 8775 , total_CPU= 1763 , total_GPU= 2987 , io_Total= 421 , io_CPU= 40 , io_GPU= 280 , sleep_Total= 0 , sleep_CPU= 0 , sleep_GPU= 0 , temp_CPU= 39000 , temp_GPU= 35500
TIME=16:04:26:499522491, total_Total= 8736 , total_CPU= 1686 , total_GPU= 3140 , io_Total= 460 , io_CPU= 40 , io_GPU= 280 , sleep_Total= 13 , sleep_CPU= 0 , sleep_GPU= 0 , temp_CPU= 39000 , temp_GPU= 35500
