TIME=23:19:46:888649267, total_Total= 11256 , total_CPU= 1838 , total_GPU= 5281 , io_Total= 421 , io_CPU= 40 , io_GPU= 280 , sleep_Total= 13 , sleep_CPU= 0 , sleep_GPU= 0 , temp_CPU= 39500 , temp_GPU= 36500
TIME=23:19:46:926767816, total_Total= 12558 , total_CPU= 2067 , total_GPU= 6350 , io_Total= 383 , io_CPU= 40 , io_GPU= 280 , sleep_Total= 13 , sleep_CPU= 0 , sleep_GPU= 0 , temp_CPU= 39500 , temp_GPU= 37000
TIME=23:19:46:963089095, total_Total= 13171 , total_CPU= 2296 , total_GPU= 6273 , io_Total= 498 , io_CPU= 39 , io_GPU= 280 , sleep_Total= 13 , sleep_CPU= 0 , sleep_GPU= 0 , temp_CPU= 39500 , temp_GPU= 37000
TIME=23:19:46:997426908, total_Total= 13280 , total_CPU= 2297 , total_GPU= 7039 , io_Total= 344 , io_CPU= 53 , io_GPU= 280 , sleep_Total= 13 , sleep_CPU= 0 , sleep_GPU= 0 , temp_CPU= 39500 , temp_GPU= 37000
TIME=23:19:47:030016462, total_Total= 13094 , total_CPU= 2144 , total_GPU= 5970 , io_Total= 344 , io_CPU= 53 , io_GPU= 280 , sleep_Total= 13 , sleep_CPU= 0 , sleep_GPU= 0 , temp_CPU= 39500 , temp_GPU= 36500
TIME=23:19:47:061692589, total_Total= 9924 , total_CPU= 2375 , total_GPU= 3523 , io_Total= 383 , io_CPU= 40 , io_GPU= 280 , sleep_Total= 13 , sleep_CPU= 0 , sleep_GPU= 0 , temp_CPU= 39500 , temp_GPU= 36500
TIME=23:19:47:094982967, total_Total= 11031 , total_CPU= 2374 , total_GPU= 4441 , io_Total= 421 , io_CPU= 39 , io_GPU= 280 , sleep_Total= 0 , sleep_CPU= 0 , sleep_GPU= 0 , temp_CPU= 39000 , temp_GPU= 36500
TIME=23:19:47:129417914, total_Total= 11907 , total_CPU= 2373 , total_GPU= 5358 , io_Total= 459 , io_CPU= 39 , io_GPU= 280 , sleep_Total= 0 , sleep_CPU= 0 , sleep_GPU= 0 , temp_CPU= 39500 , temp_GPU= 37000
TIME=23:19:47:161545442, total_Total= 12864 , total_CPU= 2450 , total_GPU= 6350 , io_Total= 497 , io_CPU= 53 , io_GPU= 280 , sleep_Total= 13 , sleep_CPU= 0 , sleep_GPU= 0 , temp_CPU= 39500 , temp_GPU= 37500
TIME=23:19:47:196086378, total_Total= 13171 , total_CPU= 2372 , total_GPU= 6959 , io_Total= 459 , io_CPU= 53 , io_GPU= 280 , sleep_Total= 13 , sleep_CPU= 0 , sleep_GPU= 0 , temp_CPU= 39500 , temp_GPU= 37000
TIME=23:19:47:230674240, total_Total= 14045 , total_CPU= 2372 , total_GPU= 6656 , io_Total= 536 , io_CPU= 39 , io_GPU= 280 , sleep_Total= 13 , sleep_CPU= 0 , sleep_GPU= 0 , temp_CPU= 39500 , temp_GPU= 37000
TIME=23:19:47:257892140, total_Total= 14122 , total_CPU= 2219 , total_GPU= 6962 , io_Total= 498 , io_CPU= 39 , io_GPU= 280 , sleep_Total= 13 , sleep_CPU= 0 , sleep_GPU= 0 , temp_CPU= 39500 , temp_GPU= 37500
TIME=23:19:47:286573198, total_Total= 10840 , total_CPU= 2375 , total_GPU= 4060 , io_Total= 460 , io_CPU= 39 , io_GPU= 280 , sleep_Total= 13 , sleep_CPU= 0 , sleep_GPU= 0 , temp_CPU= 39000 , temp_GPU= 36000
TIME=23:19:47:319406863, total_Total= 10763 , total_CPU= 2374 , total_GPU= 4364 , io_Total= 459 , io_CPU= 39 , io_GPU= 280 , sleep_Total= 13 , sleep_CPU= 0 , sleep_GPU= 0 , temp_CPU= 39500 , temp_GPU= 36500
TIME=23:19:47:352261101, total_Total= 11792 , total_CPU= 2450 , total_GPU= 5051 , io_Total= 421 , io_CPU= 39 , io_GPU= 280 , sleep_Total= 13 , sleep_CPU= 0 , sleep_GPU= 0 , temp_CPU= 39500 , temp_GPU= 37000
TIME=23:19:47:386224335, total_Total= 12864 , total_CPU= 2450 , total_GPU= 5814 , io_Total= 459 , io_CPU= 53 , io_GPU= 280 , sleep_Total= 13 , sleep_CPU= 0 , sleep_GPU= 0 , temp_CPU= 39500 , temp_GPU= 37000
TIME=23:19:47:417908327, total_Total= 13510 , total_CPU= 2449 , total_GPU= 6044 , io_Total= 536 , io_CPU= 40 , io_GPU= 280 , sleep_Total= 13 , sleep_CPU= 0 , sleep_GPU= 0 , temp_CPU= 40000 , temp_GPU= 37000
TIME=23:19:47:452148485, total_Total= 13395 , total_CPU= 2449 , total_GPU= 6962 , io_Total= 421 , io_CPU= 39 , io_GPU= 280 , sleep_Total= 13 , sleep_CPU= 0 , sleep_GPU= 0 , temp_CPU= 40000 , temp_GPU= 37500
TIME=23:19:47:483914611, total_Total= 13510 , total_CPU= 2219 , total_GPU= 7421 , io_Total= 459 , io_CPU= 39 , io_GPU= 280 , sleep_Total= 13 , sleep_CPU= 0 , sleep_GPU= 0 , temp_CPU= 40000 , temp_GPU= 37500
TIME=23:19:47:514837622, total_Total= 11371 , total_CPU= 2298 , total_GPU= 4824 , io_Total= 460 , io_CPU= 39 , io_GPU= 280 , sleep_Total= 13 , sleep_CPU= 0 , sleep_GPU= 0 , temp_CPU= 39500 , temp_GPU= 36000
TIME=23:19:47:548109823, total_Total= 10380 , total_CPU= 2374 , total_GPU= 4364 , io_Total= 459 , io_CPU= 53 , io_GPU= 280 , sleep_Total= 13 , sleep_CPU= 0 , sleep_GPU= 0 , temp_CPU= 39500 , temp_GPU= 36000
TIME=23:19:47:581068069, total_Total= 11716 , total_CPU= 2374 , total_GPU= 5128 , io_Total= 459 , io_CPU= 53 , io_GPU= 280 , sleep_Total= 13 , sleep_CPU= 0 , sleep_GPU= 0 , temp_CPU= 39500 , temp_GPU= 36500
TIME=23:19:47:626480124, total_Total= 12788 , total_CPU= 2297 , total_GPU= 6197 , io_Total= 459 , io_CPU= 39 , io_GPU= 280 , sleep_Total= 13 , sleep_CPU= 0 , sleep_GPU= 0 , temp_CPU= 39500 , temp_GPU= 37000
TIME=23:19:47:659618316, total_Total= 13171 , total_CPU= 2372 , total_GPU= 6350 , io_Total= 344 , io_CPU= 39 , io_GPU= 280 , sleep_Total= 13 , sleep_CPU= 0 , sleep_GPU= 0 , temp_CPU= 39500 , temp_GPU= 37000
TIME=23:19:47:694754766, total_Total= 13816 , total_CPU= 2372 , total_GPU= 6809 , io_Total= 536 , io_CPU= 40 , io_GPU= 280 , sleep_Total= 13 , sleep_CPU= 0 , sleep_GPU= 0 , temp_CPU= 40000 , temp_GPU= 37500
TIME=23:19:47:724771433, total_Total= 13854 , total_CPU= 2143 , total_GPU= 7498 , io_Total= 421 , io_CPU= 40 , io_GPU= 280 , sleep_Total= 13 , sleep_CPU= 0 , sleep_GPU= 0 , temp_CPU= 40000 , temp_GPU= 37000
TIME=23:19:47:752928644, total_Total= 11146 , total_CPU= 2374 , total_GPU= 4517 , io_Total= 460 , io_CPU= 53 , io_GPU= 280 , sleep_Total= 13 , sleep_CPU= 0 , sleep_GPU= 0 , temp_CPU= 39500 , temp_GPU= 37000
TIME=23:19:47:784889507, total_Total= 10342 , total_CPU= 2375 , total_GPU= 4288 , io_Total= 459 , io_CPU= 39 , io_GPU= 280 , sleep_Total= 13 , sleep_CPU= 0 , sleep_GPU= 0 , temp_CPU= 39500 , temp_GPU= 36500
TIME=23:19:47:817151617, total_Total= 11562 , total_CPU= 2374 , total_GPU= 5128 , io_Total= 459 , io_CPU= 40 , io_GPU= 280 , sleep_Total= 13 , sleep_CPU= 0 , sleep_GPU= 0 , temp_CPU= 39500 , temp_GPU= 36500
TIME=23:19:47:850890323, total_Total= 12175 , total_CPU= 2450 , total_GPU= 6120 , io_Total= 421 , io_CPU= 39 , io_GPU= 280 , sleep_Total= 13 , sleep_CPU= 0 , sleep_GPU= 0 , temp_CPU= 39500 , temp_GPU= 37000
TIME=23:19:47:884165128, total_Total= 13089 , total_CPU= 2449 , total_GPU= 6580 , io_Total= 383 , io_CPU= 39 , io_GPU= 280 , sleep_Total= 13 , sleep_CPU= 0 , sleep_GPU= 0 , temp_CPU= 39500 , temp_GPU= 37500
