Total_Power Total_CPU_Power Total_GPU_Power CPU_Temperature GPU_Temperature 
3262 460 76 32000 28500 
3301 537 76 32000 28500 
3377 537 76 32000 28500 
3377 537 76 32000 28500 
3416 537 76 32000 28500 
3416 614 76 32000 28500 
3492 614 19 32000 28500 
3568 690 19 32000 28500 
3606 690 19 32000 28500 
3644 767 19 32000 28500 
3683 844 19 32000 28500 
3760 844 19 32000 28500 
3798 921 19 32000 28500 
3836 921 19 32000 28500 
3875 997 19 32000 28500 
3913 997 19 32000 28500 
3951 1074 19 32000 28500 
4028 1074 19 32000 28500 
4067 1151 19 32000 28500 
4105 1151 19 32000 28500 
4143 1228 19 32000 28500 
4220 1228 19 32000 28500 
4220 1305 19 32000 28500 
4258 1381 19 32000 28500 
4335 1381 19 32000 28500 
4335 1381 19 32000 28500 
4412 1458 19 32000 28500 
4412 1535 19 32000 28500 
4489 1534 19 32000 28500 
4527 1611 19 32000 28500 
4565 1611 19 32000 28500 
4565 1611 19 32000 28500 
4642 1688 19 32000 28500 
4642 1688 19 32000 28500 
4642 1688 19 32000 28500 
4680 1764 19 32500 28500 
4719 1764 19 32500 28500 
4757 1764 19 32500 28500 
4796 1841 19 32500 28500 
4834 1841 19 32500 28500 
4834 1918 19 32500 28500 
4872 1918 19 32500 28500 
4911 1918 19 32500 28500 
4911 1918 19 32500 28500 
4949 1995 19 32500 28500 
4987 1995 19 32500 28500 
4987 1995 19 32500 28500 
5026 2071 19 32500 28500 
5064 2071 19 32500 28500 
5062 2071 19 32500 28500 
5100 2148 19 32500 28500 
5139 2148 19 32500 28500 
5139 2148 19 32500 28500 
5177 2148 19 32500 28500 
5177 2148 19 32500 28500 
5177 2148 19 32500 28500 
5177 2148 19 32500 28500 
5177 2148 19 32500 28500 
5177 2148 19 32500 28500 
5177 2148 19 32500 28500 
5177 2225 19 32500 28500 
5215 2225 19 32500 28500 
5215 2225 19 32500 28500 
5177 2225 19 32500 28500 
5177 2225 19 32500 28500 
5215 2225 19 32500 28500 
5254 2225 19 32500 28500 
5254 2225 19 32500 28500 
5254 2225 19 32500 28500 
5292 2302 19 32500 28500 
5292 2302 19 32500 29000 
5330 2302 19 32500 29000 
5330 2302 19 32500 29000 
5330 2302 19 32500 29000 
5330 2302 19 32500 29000 
5369 2378 19 32500 29000 
5369 2378 19 32500 29000 
5407 2378 19 32500 29000 
5407 2455 19 32500 29000 
