Total_Power Total_CPU_Power Total_GPU_Power CPU_Temperature GPU_Temperature 
2226 153 19 32000 31000 
2226 153 19 32000 31000 
2226 153 19 32000 31000 
2227 153 19 32000 31000 
2226 153 19 32000 31000 
2226 153 19 32000 31000 
2227 153 19 32000 31000 
2227 153 19 32000 31000 
2227 230 19 32000 31000 
2227 230 19 32000 31000 
2227 230 19 32000 31000 
2227 230 19 32000 31000 
2227 230 19 32000 31000 
2227 230 19 32000 31000 
2227 153 19 32000 31000 
2188 230 19 32000 31000 
2188 230 19 32000 31000 
2188 230 19 32000 31000 
2227 230 19 32000 31000 
2187 230 19 32000 31000 
2188 230 19 32000 31000 
2226 230 19 32000 31000 
2226 230 19 32000 31000 
2226 230 19 32000 31000 
2226 230 19 32000 31000 
2264 230 19 32000 30500 
2303 230 19 32000 30500 
2341 230 76 32000 30500 
2379 230 76 32000 31000 
2379 153 76 32000 31000 
2341 230 76 32000 31000 
2341 230 76 32000 31000 
2341 230 76 32000 31000 
2341 230 19 32000 30500 
2303 230 19 32000 30500 
2303 230 19 32500 30500 
2303 230 19 32500 30500 
2303 230 19 32500 30500 
2303 230 19 32500 30500 
2303 230 19 32500 30500 
2304 230 19 32000 30500 
2264 230 19 32000 30500 
2264 230 19 32000 30500 
2264 153 19 32000 30500 
2264 153 19 32000 30500 
2264 153 19 32000 30500 
2264 153 19 32000 30500 
2265 153 19 32000 30500 
2264 153 19 32000 30500 
2265 153 19 32000 30500 
2265 230 19 32000 30500 
2264 153 19 32500 30500 
2265 153 19 32500 30500 
2264 153 19 32500 30500 
2264 153 19 32500 30500 
2264 230 19 32000 30500 
2264 230 19 32000 30500 
2264 230 19 32000 30500 
2264 230 19 32000 30500 
2265 153 19 32000 30500 
2265 153 19 32000 30500 
2265 230 19 32000 30500 
2264 230 19 32000 30500 
2264 230 19 32000 30500 
2264 230 19 32000 30500 
2264 230 19 32000 30500 
2303 230 19 32000 30500 
2303 230 19 32000 30500 
2304 230 19 32000 30500 
2303 230 19 32000 30500 
2303 230 19 32000 30500 
2341 230 76 32000 30500 
2379 230 76 32000 30500 
2379 230 76 32000 30500 
2379 230 76 32000 30500 
2379 153 76 32000 30500 
2341 153 76 32000 30500 
2341 153 76 32000 30500 
2341 153 76 32000 30500 
2341 153 76 32000 30500 
2341 153 76 32000 30500 
2341 230 76 32000 30500 
2341 230 76 32000 30500 
2341 153 76 32000 30500 
2303 153 76 32000 30500 
2303 153 76 32000 30500 
2303 153 76 32000 30500 
2303 153 76 32000 30500 
2303 153 19 32000 30500 
2303 153 19 32000 30500 
2303 230 19 32000 30500 
2303 230 19 32000 30500 
2264 230 19 32000 30500 
2264 230 19 32000 30500 
2264 230 19 32000 30500 
2264 153 19 32000 30500 
2264 153 19 32000 30500 
2264 153 19 32000 30500 
2264 230 19 32000 30500 
2264 153 19 32000 30500 
2264 230 19 32000 30500 
2264 153 19 32000 30500 
2264 230 19 32000 30500 
2264 230 19 32000 30500 
2264 230 19 32000 30500 
2264 230 19 32000 30500 
2264 230 19 32000 30500 
2264 153 19 32000 30500 
2264 230 19 32000 30500 
2264 230 19 32000 30500 
2264 230 19 32000 30500 
2264 230 19 32000 30500 
2264 230 19 32000 30500 
2303 230 19 32000 30500 
2264 230 19 32000 30500 
2264 230 19 32000 31000 
2264 230 19 32000 31000 
2264 230 19 32000 31000 
2303 230 19 32000 31000 
2303 230 19 32000 30500 
2264 230 19 32000 30500 
2264 230 19 32000 30500 
2264 230 19 32000 30500 
2264 230 19 32000 30500 
2264 230 19 32000 30500 
2264 230 19 32000 30500 
2304 230 19 32000 30500 
2303 230 19 32000 30500 
2303 230 19 32000 30500 
2303 230 19 32000 30500 
2303 230 19 32000 30500 
2303 230 19 32000 30500 
2303 230 19 32000 30500 
2303 230 19 32000 30500 
2303 230 19 32000 30500 
2265 230 19 32000 30500 
2304 230 19 32000 30500 
2303 230 19 32000 30500 
2303 230 19 32000 30500 
2341 230 19 32000 30500 
2341 230 19 32000 30500 
2341 230 19 32000 30500 
2342 230 19 32000 30500 
2341 230 19 32000 30500 
2342 230 19 32000 30500 
2341 230 19 32000 30500 
2342 230 19 32000 30500 
2303 230 19 32000 30500 
2303 230 19 32000 30500 
2303 230 19 32000 30500 
2341 230 19 32000 30500 
2341 230 19 32000 30500 
2341 230 76 32000 30500 
2379 153 76 32000 30500 
2418 153 76 32000 30500 
2418 230 76 32000 30500 
2456 230 76 32000 30500 
2456 230 76 32000 30500 
2456 230 76 32000 30500 
2456 230 76 32000 30500 
2456 230 153 32000 30500 
2494 230 153 32000 30500 
2456 230 153 32000 30500 
2456 230 153 32000 30500 
2456 230 153 32000 30500 
2418 230 153 32000 30500 
2418 230 153 32000 30500 
2418 153 153 32000 30500 
2418 230 153 32000 30500 
2418 153 153 32000 30500 
2379 153 76 32000 31000 
2379 153 76 32000 31000 
2341 153 76 32000 31000 
2341 153 76 32000 31000 
2341 153 76 32000 31000 
2303 153 76 32000 30500 
2303 153 76 32000 30500 
2303 230 76 32000 30500 
2303 153 19 32000 30500 
2303 153 19 32000 30500 
2303 153 19 32000 30500 
2264 153 19 32000 30500 
2264 153 19 32000 30500 
2226 153 19 32000 30500 
2227 153 19 32000 30500 
2264 153 19 32000 30500 
2264 153 19 32000 30500 
2264 153 19 32000 30500 
2264 153 19 32000 30500 
2264 230 19 32000 30500 
2264 153 19 32000 30500 
2264 153 19 32000 30500 
2264 153 19 32000 30500 
2264 153 19 32000 30500 
2264 153 19 32000 30500 
2264 153 19 32000 30500 
2264 153 19 32000 30500 
2264 153 19 32000 30500 
2264 153 19 32000 30500 
2303 230 19 32000 30500 
2303 230 19 32000 30500 
2303 230 19 32000 30500 
2303 230 19 32000 30500 
2341 230 76 32000 30500 
2379 230 76 32000 30500 
2379 230 76 32000 31000 
2379 230 76 32000 31000 
2379 230 76 32000 31000 
2379 230 76 32000 31000 
2379 230 76 32000 31000 
2379 230 76 32000 30500 
2379 230 76 32000 30500 
2379 230 76 32000 30500 
2380 230 76 32000 30500 
2341 230 76 32000 30500 
2341 230 76 32000 30500 
2341 230 76 32000 30500 
2342 230 76 32000 30500 
2342 230 76 32000 30500 
2341 230 76 32000 30500 
2303 230 19 32000 30500 
2303 230 19 32000 30500 
2303 230 19 32000 30500 
2303 230 19 32000 30500 
2303 230 19 32000 30500 
2303 230 19 32000 30500 
2303 230 19 32000 30500 
2265 153 19 32000 30500 
2265 230 19 32000 30500 
2265 230 19 32000 30500 
2264 230 19 32000 30500 
2264 230 19 32000 30500 
2303 153 19 32000 30500 
2264 153 19 32000 30500 
2264 230 19 32000 31000 
2265 230 19 32000 31000 
2264 230 19 32000 31000 
2265 230 19 32000 31000 
2264 230 19 32000 30500 
2264 230 19 32000 30500 
2264 230 19 32000 30500 
2264 230 19 32000 30500 
2303 230 19 32000 30500 
2264 230 19 32000 30500 
2264 230 19 32000 30500 
2264 230 19 32000 30500 
2264 230 19 32000 30500 
2264 153 19 32000 30000 
2264 153 19 32000 30000 
2264 153 19 32000 30000 
2264 153 19 32000 30000 
2264 230 19 32000 30000 
2264 230 19 32000 30500 
2264 230 19 32000 30500 
2264 230 19 32000 30500 
2264 230 19 32000 30500 
2264 230 19 32000 30500 
2264 230 19 32000 30500 
2264 230 19 32000 30500 
2264 230 19 32000 30500 
