Total_Power Total_CPU_Power Total_GPU_Power CPU_Temperature GPU_Temperature 
6248 3221 0 30500 27500 
6248 3144 0 30500 27500 
6248 3221 0 30500 27500 
6248 3221 0 31000 27500 
6248 3221 0 31000 27500 
6210 3144 0 31000 27500 
6172 3144 0 31000 27500 
6172 3144 0 31000 27500 
6172 3144 0 31000 27500 
6210 3144 0 31000 27500 
6210 3144 0 31000 27500 
6248 3144 0 31000 27500 
6210 3144 0 31000 27500 
6210 3144 0 31000 27500 
6210 3144 0 31000 27500 
6210 3144 0 31000 27500 
6210 3144 0 31000 27500 
6210 3144 0 31000 27500 
6210 3144 0 31000 27500 
6210 3144 0 31000 27500 
6210 3144 0 31000 27500 
6210 3144 0 31000 27500 
6172 3144 0 31000 27500 
6210 3144 0 31000 27500 
6172 3068 0 31000 27500 
6172 3068 0 31000 27500 
6172 3144 0 31000 27500 
6210 3144 0 31000 27500 
6210 3144 0 30500 27500 
6248 3144 0 30500 27500 
6248 3144 0 30500 27500 
6210 3144 0 30500 27500 
6210 3144 0 30500 27500 
6210 3144 0 30500 27500 
6172 3144 0 30500 27500 
6172 3144 0 30500 27500 
6172 3144 0 30500 27500 
6172 3144 0 30500 27500 
6210 3144 0 30500 27500 
6248 3144 0 30500 27500 
6248 3144 0 30500 27500 
6210 3144 0 30500 27500 
6248 3144 0 30500 27500 
6248 3144 0 30500 27500 
6248 3144 0 30500 27500 
6210 3144 0 30500 27500 
6210 3144 0 30500 27500 
6172 3144 0 30500 27500 
6133 3068 0 30500 27500 
6172 3144 0 30500 27500 
6172 3144 0 30500 27500 
6172 3144 0 30500 27500 
6172 3144 0 30500 27500 
6172 3144 0 30500 27500 
6133 3068 0 30500 27500 
6133 3068 0 30500 27500 
6097 3068 0 30500 27500 
6097 3068 0 30500 27500 
6097 3068 0 30500 27500 
6133 3068 0 30500 27500 
6133 3068 0 30500 27500 
6097 3068 0 30500 27500 
6097 3068 0 30500 27500 
6136 3068 0 30500 27500 
6136 3068 0 30500 27500 
6172 3068 0 30500 27500 
6133 3068 0 30500 27500 
6133 3068 0 30500 27500 
6133 3068 0 30500 27500 
6172 3068 0 30500 27500 
6133 3068 0 30500 27500 
6133 3068 0 30500 27500 
6133 3068 0 30500 27500 
6172 3068 0 30500 27500 
6133 3068 0 30500 27500 
6133 3068 0 30500 27500 
6133 3068 0 30500 27500 
6172 3068 0 30500 27500 
6172 3068 0 30500 27500 
6210 3068 0 30500 27500 
6210 3068 0 30500 27500 
6210 3144 0 31000 27500 
6248 3144 0 31000 27500 
6248 3144 0 31000 27500 
6248 3144 0 31000 27500 
6248 3144 0 31000 27000 
6248 3144 0 31000 27000 
6248 3144 0 31000 27000 
6210 3144 0 31000 27000 
6172 3144 0 31000 27000 
6210 3144 0 31000 27000 
6210 3144 0 31000 27000 
6210 3144 0 31000 27000 
6248 3144 0 31000 27000 
6248 3144 0 31000 27000 
6287 3221 0 31000 27000 
6287 3221 0 31000 27000 
6248 3221 0 31000 27000 
6248 3221 0 31000 27000 
6287 3221 0 31000 27000 
6287 3221 0 31000 27000 
6287 3221 0 30500 27000 
6287 3221 0 30500 27000 
6287 3221 0 30500 27000 
6287 3221 0 30500 27000 
6287 3221 0 30500 27500 
6287 3221 0 30500 27500 
6325 3298 0 30500 27500 
6363 3298 0 30500 27500 
6363 3298 0 30500 27500 
6325 3221 0 30500 27500 
6325 3221 0 30500 27500 
6325 3298 0 30500 27500 
6325 3298 0 30500 27500 
