Total_Power Total_CPU_Power Total_GPU_Power CPU_Temperature GPU_Temperature 
2419 230 19 34000 31000 
2456 230 19 34000 31000 
2456 307 19 34000 31000 
2494 307 19 34000 31000 
2533 307 19 34000 31000 
2571 384 19 34000 31000 
2571 384 19 34000 31000 
2610 384 19 34000 31000 
2648 460 19 34000 31000 
2686 460 19 34000 31000 
2686 460 19 34000 31000 
2725 460 19 34000 31000 
2725 537 19 34000 31000 
2763 537 19 34000 31000 
2802 537 19 34000 31000 
2840 614 19 34000 31000 
2840 614 19 34000 31000 
2878 614 19 34000 31000 
2917 691 19 34000 31000 
2917 691 19 34000 31000 
2955 691 19 34000 31000 
2955 691 19 34000 31000 
2993 691 19 34000 31000 
2993 691 19 34000 31000 
3032 768 19 34000 31000 
3032 768 19 34000 31000 
3032 768 19 34000 31000 
3070 768 19 34000 31000 
3070 768 19 34000 31000 
3070 768 19 34000 31000 
3070 768 19 34000 31000 
3109 844 19 34000 31000 
3109 844 19 34000 31000 
3147 844 19 34000 31000 
3147 844 19 34000 31000 
3147 844 19 34000 31000 
3147 844 19 34000 31000 
3147 844 19 34000 31000 
3185 844 19 34000 31000 
3185 844 19 34500 31000 
3185 844 19 34500 31000 
3185 844 19 34500 31000 
3185 844 19 34500 31000 
3224 844 19 34500 31000 
3224 921 19 34500 31000 
3224 921 19 34500 31000 
3262 921 19 34500 31000 
3262 921 19 34500 31000 
3262 921 19 34500 31000 
3262 921 19 34500 31000 
3262 921 19 34500 31000 
3301 921 19 34500 31000 
3301 921 19 34500 31000 
3301 921 19 34500 31000 
3301 921 19 34500 31000 
3301 921 19 34500 31000 
3301 921 19 34500 31000 
3339 921 19 34500 31000 
3339 921 19 34500 31000 
3339 998 19 34500 31000 
3339 921 19 34500 31000 
3339 921 19 34500 31000 
3339 921 19 34500 31000 
3339 921 19 34500 31000 
3339 998 19 34500 31000 
3377 998 19 34500 31000 
3377 998 19 34500 31000 
3377 921 19 34500 31000 
3377 921 19 34500 31000 
3377 921 19 34500 31000 
3377 921 19 34500 31000 
3377 921 19 34500 31000 
3377 998 19 34500 31000 
3377 998 19 34500 31000 
