Total_Power Total_CPU_Power Total_GPU_Power CPU_Temperature GPU_Temperature 
3032 384 19 44500 42000 
3147 460 19 44500 42000 
3262 537 19 44500 42000 
3301 614 19 44500 42000 
3377 691 19 44500 42000 
3454 768 19 44500 42000 
3492 768 19 44500 42000 
3569 844 19 44500 42000 
3646 844 19 44500 42000 
3684 921 19 44500 42000 
3723 998 19 44500 42000 
3800 1074 19 44500 42000 
3838 1074 19 44500 42000 
3876 1151 19 44500 42000 
3953 1151 19 44500 42000 
3991 1228 19 44500 42000 
4068 1305 19 44500 42000 
4107 1305 19 44500 42000 
4145 1381 19 44500 42500 
4220 1458 19 44500 42500 
4297 1458 19 44500 42500 
4335 1535 19 44500 42500 
4373 1612 19 44500 42500 
4450 1612 19 44500 42500 
4450 1688 19 44500 42500 
4489 1688 19 46500 42500 
4527 1765 19 46500 42500 
4565 1765 19 46500 42500 
4604 1765 19 46500 42500 
4642 1842 19 46500 42500 
4642 1842 19 46500 42500 
4680 1842 19 46500 42500 
4757 1919 19 46500 42500 
4757 1919 19 46500 42500 
4796 1995 19 46500 42500 
4834 1995 19 46500 42500 
4872 1995 19 46500 42500 
4911 2072 19 46500 42500 
4911 2072 19 46500 42500 
4949 2072 0 46500 42500 
4987 2072 0 46500 42500 
5026 2149 0 46500 42500 
5026 2149 0 46500 42500 
5064 2149 0 46500 42500 
5102 2149 0 46500 42500 
5102 2226 0 46500 42500 
5141 2225 0 46500 42500 
5179 2302 0 46500 42500 
5218 2302 0 46500 43000 
5218 2302 0 46500 43000 
5256 2302 0 46500 43000 
5256 2302 0 46500 43000 
5256 2378 0 46500 43000 
5294 2378 0 46500 43000 
5294 2378 0 46500 43000 
5333 2455 0 46500 43000 
5333 2455 0 46500 43000 
5371 2455 0 46500 43000 
5371 2455 0 46500 43000 
5409 2532 0 46500 43000 
5409 2532 0 46500 43000 
5448 2532 0 46500 43000 
5448 2532 0 46500 43000 
5486 2532 0 46500 43000 
5486 2609 0 46500 43000 
5524 2609 0 46500 43000 
5524 2609 0 46500 43000 
5524 2609 19 46500 43000 
5563 2609 19 46500 43000 
5601 2685 0 46500 43000 
5601 2685 0 46500 43000 
5640 2685 0 46500 43000 
5640 2685 0 46500 43000 
5640 2685 0 46500 43000 
5637 2685 0 46500 43000 
5676 2762 0 46500 43000 
5676 2762 0 46500 43000 
5676 2762 0 46500 43000 
5714 2762 0 46500 43500 
5714 2762 0 46500 43500 
5714 2762 0 46500 43500 
5714 2762 0 46500 43500 
5714 2762 0 46500 43500 
5714 2839 0 46500 43500 
5714 2839 0 46500 43500 
5752 2839 0 47000 43500 
5752 2839 0 47000 43500 
5752 2839 0 47000 43500 
5752 2839 0 47000 43500 
5791 2839 0 47000 43500 
5791 2839 0 47000 43500 
5791 2839 0 47000 43500 
5791 2839 0 47000 43500 
5791 2839 0 47000 43500 
5791 2839 0 47000 43500 
5791 2839 0 47000 43500 
5791 2839 0 47000 43500 
5791 2839 0 47000 43500 
5791 2839 0 47000 43500 
5791 2915 19 47000 43500 
5791 2915 0 47000 43500 
5791 2915 0 47000 43500 
5791 2915 0 47000 43500 
5791 2915 0 47000 43500 
5791 2915 0 47000 43500 
5829 2915 0 47000 43500 
5829 2915 0 47000 43500 
5791 2915 0 47000 43500 
5791 2915 0 47000 43500 
5791 2915 0 47000 43500 
5829 2915 0 47000 43500 
5791 2915 0 47000 43500 
5829 2915 0 47000 43500 
5829 2915 0 47000 43500 
5829 2915 0 47000 43500 
5829 2915 0 47000 43500 
5829 2915 0 47000 43500 
5829 2915 0 47000 43500 
5829 2915 0 47000 43500 
5829 2915 0 47000 43500 
5829 2915 0 47000 43500 
5829 2915 0 47000 43500 
5829 2915 0 47000 43500 
5829 2915 0 47000 43500 
5829 2915 0 47000 43500 
5829 2915 0 47000 43500 
5867 2915 0 47000 43500 
5867 2915 0 47000 43500 
5867 2915 0 47000 43500 
5867 2915 0 47000 43500 
5867 2915 0 47000 43500 
5867 2915 0 47000 43500 
5867 2915 0 47000 43500 
5867 2915 0 47000 43500 
5867 2915 0 47000 43500 
5867 2915 0 47000 43500 
5867 2915 0 47000 43500 
5906 2992 0 47000 43500 
5906 2992 0 47000 43500 
5906 2992 0 47000 43500 
5906 2992 0 47000 43500 
5906 2992 0 47000 43500 
5906 2992 0 47000 43500 
5906 2992 0 47000 43500 
5944 2992 0 47000 43500 
5906 2992 0 47000 43500 
5906 2992 0 47000 43500 
5906 2992 0 47000 43500 
5944 2992 0 47000 43500 
5944 2992 0 47000 43500 
5944 2992 0 47000 43500 
5944 2992 0 47000 43500 
5906 2992 0 47000 43500 
5944 2992 0 47000 43500 
5944 2992 0 47000 43500 
5906 2992 0 47000 43500 
5906 2992 0 47000 43500 
5944 2992 0 47000 43500 
5944 2915 0 47000 43500 
5944 2915 0 47000 43500 
5944 2992 0 47000 43500 
5944 2915 0 47000 43500 
5944 2992 0 47000 43500 
5944 2992 0 47000 43500 
5944 2992 0 47000 43500 
5944 2992 0 47000 43500 
5944 2992 0 47000 43500 
5944 2992 0 47000 43500 
5944 2992 0 47000 43500 
5906 2992 0 47000 43500 
5906 2992 0 47000 43500 
5906 2992 0 47000 43500 
5906 2992 0 47000 43500 
5906 2992 0 47000 43500 
5906 2992 0 47000 43500 
5906 2992 0 47000 43500 
5906 2992 0 47000 43500 
5906 2992 0 47000 43500 
5906 2992 0 47000 43500 
5906 2992 0 47000 43500 
5906 2992 0 47000 43500 
5906 2992 0 47000 43500 
5906 2992 0 47000 43500 
5906 2992 0 47000 43500 
5906 2992 0 47000 43500 
5906 2992 0 47000 43500 
5906 2992 0 47000 43500 
5906 2992 0 47000 43500 
5906 2992 0 47000 43500 
5906 2992 0 47000 43500 
5906 2992 0 47000 43500 
5906 2992 0 47000 43500 
5906 2992 0 47000 43500 
5906 2992 0 47000 43500 
5906 2992 0 47000 43500 
5867 2992 0 47000 43500 
5867 2992 0 47000 43500 
5906 2992 0 47000 43500 
5906 2992 0 47000 43500 
5906 2992 0 47000 43500 
5867 2992 0 47000 43500 
5867 2992 0 47000 43500 
5867 2992 0 47000 43500 
5829 2915 0 47000 43500 
5829 2915 0 47000 43500 
5829 2915 0 47000 43500 
5791 2915 0 46500 43500 
5791 2915 0 46500 43500 
5752 2839 0 46500 43500 
