Total_Power Total_CPU_Power Total_GPU_Power CPU_Temperature GPU_Temperature 
2342 230 19 34000 32000 
2418 230 19 34000 32000 
2418 307 19 34000 32000 
2456 307 19 34000 32000 
2494 307 19 34000 32000 
2494 384 19 34000 32000 
2533 384 19 34000 32000 
2571 384 19 34000 32000 
2571 384 19 34000 32000 
2610 460 19 34000 32000 
2610 460 19 34000 32000 
2648 460 19 34000 32000 
2686 460 19 34000 32000 
2686 460 19 34000 32000 
2686 537 19 34000 32000 
2725 537 19 34000 32000 
2725 537 19 34000 32000 
2763 537 19 34500 32000 
2763 537 19 34500 32000 
2802 614 19 34500 32000 
2802 614 19 34500 32000 
2840 614 19 34500 32000 
2840 614 19 34500 32000 
2840 614 19 34500 32000 
2878 614 19 34500 32000 
2878 614 19 34500 32000 
2917 691 19 34500 32000 
2917 691 19 34500 32000 
2917 691 19 34500 32000 
2917 691 19 34500 32000 
2955 691 19 34500 32000 
2955 691 19 34500 32000 
2955 691 19 34500 32000 
2993 768 19 34500 32000 
2993 768 19 34500 32000 
2993 768 19 34500 32000 
2993 768 19 34500 32000 
2993 768 19 34500 32000 
3032 768 19 34500 32000 
3032 768 19 34500 32000 
3032 768 19 34500 32000 
3070 768 19 34500 32000 
3070 768 19 34500 32000 
3070 768 19 34500 32000 
3070 844 19 34500 32000 
3070 844 19 34500 32000 
3109 844 19 34500 32000 
3109 844 19 34500 32000 
3109 844 19 34500 32000 
3147 844 19 34500 32000 
3147 844 19 34500 32000 
3185 844 19 34500 32000 
3185 921 19 34500 32000 
3185 921 19 34500 32000 
3185 921 19 34500 32000 
3224 921 19 34500 32000 
3224 921 19 34500 32000 
3224 921 19 34500 32000 
3224 921 19 34500 32000 
3262 921 19 34500 32000 
3224 921 19 34500 32000 
3224 921 19 34500 32000 
3224 921 19 34500 32000 
3262 921 19 34500 32000 
3224 921 19 34500 32000 
3262 921 19 34500 32000 
3262 998 19 35000 32000 
3301 998 19 35000 32000 
3301 998 19 35000 32000 
3301 998 19 35000 32000 
3301 998 19 35000 32000 
3301 998 19 35000 32000 
3339 998 19 35000 32000 
3339 998 19 35000 32000 
3339 998 19 35000 32000 
3339 998 19 35000 32000 
3339 998 19 35000 32000 
3339 998 19 35000 32000 
3339 998 19 35000 32000 
3339 998 19 35000 32000 
3339 998 19 35000 32000 
3339 998 19 35000 32000 
3339 998 19 35000 32000 
3339 998 19 35000 32000 
3339 998 19 35000 32000 
3339 998 19 35000 32000 
3339 998 19 35000 32000 
3339 998 19 35000 32000 
3339 998 19 35000 32000 
3339 998 19 35000 32000 
3339 998 19 34500 32000 
3339 998 19 34500 32000 
3339 998 19 34500 32000 
3377 998 19 34500 32000 
3377 998 19 34500 32000 
3377 998 19 34500 32000 
3377 998 19 34500 32000 
3377 998 19 34500 32000 
3377 998 19 34500 32000 
3377 998 19 34500 32000 
3339 998 19 34500 32000 
3339 998 19 34500 32000 
3377 998 19 34500 32000 
3339 998 19 34500 32000 
3339 998 19 34500 32000 
3339 998 19 34500 32000 
3339 998 19 34500 32000 
3339 998 19 34500 32000 
3339 998 19 34500 32000 
3339 998 19 34500 32000 
3339 998 19 34500 32000 
3339 998 19 34500 32000 
3339 998 19 34500 32000 
3377 998 19 34500 32000 
3339 998 19 34500 32000 
3339 998 19 34500 32000 
3377 998 19 34500 31500 
3339 998 19 34500 31500 
3377 997 19 34500 31500 
3416 997 19 34500 31500 
3416 997 19 34500 31500 
3416 997 19 34500 31500 
3416 997 19 34500 31500 
3454 997 19 34500 31500 
3454 997 19 34500 31500 
3454 997 19 34500 31500 
3454 997 19 34500 31500 
3454 997 19 34500 31500 
3454 997 19 34500 31500 
3454 997 19 34500 31500 
3454 997 19 34500 31500 
3416 997 19 34500 31500 
3454 997 19 34500 31500 
3454 997 19 34500 31500 
3454 997 19 34500 31500 
3416 997 19 34500 31500 
3416 998 19 34500 31500 
3416 997 19 34500 31500 
3416 998 19 34500 31500 
3416 997 19 34500 31500 
3416 997 19 34500 31500 
3416 997 19 34500 31500 
3416 997 19 34500 31500 
3454 997 19 34500 31500 
3454 997 19 34500 31500 
3454 997 19 34500 31500 
3454 997 19 34500 31500 
3454 997 19 34500 31500 
3454 997 19 34500 31500 
3454 998 19 34500 31500 
3454 1074 19 34500 31500 
3454 1074 19 34500 31500 
3454 1074 19 34500 31500 
3454 1074 19 34500 31500 
3454 1074 19 34500 31500 
3454 1074 19 34500 31500 
3454 1074 19 34500 31500 
3454 1074 19 34000 31500 
3492 1074 19 34000 31500 
3492 1074 19 34000 31500 
3492 1074 19 34000 31500 
3492 1074 19 34000 31500 
3531 1074 19 34000 31500 
3531 1074 19 34000 31500 
3492 1074 19 34000 31500 
3531 1074 19 34000 31500 
3531 1074 19 34000 31500 
3531 1074 19 34000 31500 
3531 1074 19 34000 31500 
3531 1074 19 34000 31500 
3531 1074 19 34000 31500 
3531 1074 19 34000 31500 
3531 1074 19 34000 31500 
3531 1074 19 34000 31500 
3492 1074 19 34000 31500 
3492 1074 19 34000 31500 
3492 1074 19 34000 31500 
3492 1074 19 34000 31500 
3492 1074 19 34000 31500 
3492 1074 19 34000 31500 
3492 1074 19 34500 31500 
3492 1074 19 34500 31500 
3492 1074 19 34500 31500 
3492 1074 19 34500 31500 
3492 1074 19 34500 31500 
3492 1074 19 34500 31500 
3492 1074 19 34500 31500 
3492 1074 19 34500 31500 
3492 1074 19 34500 31500 
3492 1074 19 34500 31500 
3492 1074 19 34500 31500 
3492 1074 19 34500 31500 
3492 1074 19 34500 31500 
3492 1074 19 34500 31500 
3492 1074 19 34500 31500 
3492 1074 19 34500 31500 
3492 1074 19 34500 31500 
3492 1074 19 34500 31500 
3492 1074 19 34500 31500 
3492 1074 19 34500 31500 
3492 1074 19 34500 31500 
3492 1074 19 34500 31500 
3531 1074 19 34500 31500 
3531 1074 19 34500 31500 
3492 1074 19 34500 31500 
3492 1074 19 34500 31500 
3492 1074 19 34500 31500 
3492 1074 19 34500 31500 
3492 1074 19 34500 31500 
3492 1074 19 34500 31500 
3492 1074 19 34500 31500 
3492 1074 19 34500 31500 
3492 1074 19 34500 31500 
3492 1074 19 34500 31500 
3492 1074 19 34500 31500 
3492 1074 19 34500 31500 
3492 1074 19 34500 31500 
3492 1074 19 34500 31500 
3492 1074 19 34500 31500 
3492 1074 19 34500 31500 
3492 1074 19 34500 31500 
3492 1074 19 34500 31500 
3492 1074 19 34500 31500 
3492 1074 19 34500 31500 
3492 1074 19 34500 31500 
3492 1074 19 34500 31500 
3492 1074 19 34500 31500 
3492 1074 19 34500 31500 
3492 1074 19 34500 31500 
3492 1074 19 34500 31500 
3492 1074 19 34500 31500 
3492 1074 19 34500 31500 
3492 1074 19 34500 31500 
3492 1074 19 34500 31500 
3454 1074 19 34500 31500 
3454 997 19 34500 31500 
3454 1074 19 34500 31500 
3454 1074 19 34500 31500 
3454 1074 19 34500 31500 
3454 1074 19 34500 31500 
3454 1074 19 34500 31500 
3454 1074 19 34500 31500 
3454 1074 19 34500 31500 
3454 1074 19 34500 31500 
3454 1074 19 34500 31500 
3416 1074 19 34500 31500 
3416 1074 19 34500 31500 
3416 1074 19 34500 31500 
3416 1074 19 34500 31500 
3416 1074 19 34500 31500 
3416 1074 19 34500 31500 
3416 1074 19 34500 31500 
3416 997 19 34500 31500 
3416 997 19 34500 31500 
3416 1074 19 34500 31500 
3416 1074 19 34500 31500 
3416 1074 19 34500 31500 
3416 997 19 34500 31500 
3416 997 19 34500 31500 
3416 997 19 34500 31500 
3377 998 19 34500 31500 
3377 998 19 34500 31500 
3377 997 19 34500 31500 
3416 1074 19 34500 31500 
3416 1074 19 34500 31500 
3416 1074 19 34500 31500 
3416 1074 19 34500 31500 
3416 1074 19 34500 31500 
3377 1074 19 34500 31500 
3377 1075 19 34500 31500 
3377 1075 19 34500 31500 
3377 1075 19 34500 31500 
3377 1075 19 34500 31500 
3377 1075 19 34500 31500 
3377 1075 19 34500 31500 
3377 1075 19 34500 31500 
3377 998 19 34500 31500 
3377 998 19 34500 31500 
3377 998 19 34500 31500 
3377 998 19 34500 31500 
3377 1075 19 34500 31500 
3377 1075 19 34500 31500 
3377 1075 19 34500 31500 
3377 1075 19 34500 31500 
3377 1075 19 34500 31500 
3377 1075 19 34500 31500 
3377 1075 19 34500 31500 
3377 1075 19 34500 31500 
3377 998 19 34500 31500 
3377 998 19 34500 31500 
3377 998 19 34500 31500 
3377 1075 19 34500 31500 
3377 998 19 34500 31500 
3377 1075 19 34500 31500 
3377 1075 19 34500 31500 
3377 1075 19 34500 31500 
3377 1075 19 34500 31500 
3377 1075 19 34500 31500 
3377 998 19 34500 31500 
3377 998 19 34500 31500 
3339 998 19 34500 31500 
3339 998 19 34500 31500 
3339 998 19 34500 31500 
3339 998 19 34500 31500 
3339 998 19 34500 31500 
3339 998 19 34500 31500 
3339 998 19 34500 31500 
3377 998 19 34500 31500 
3377 998 19 34500 31500 
3377 998 19 34500 31500 
3377 998 19 34500 31500 
3377 998 19 34500 31500 
3377 998 19 34500 31500 
3377 998 19 34500 31500 
3377 998 19 34500 31500 
3377 998 19 34500 31500 
3377 998 19 34500 31500 
3377 998 19 34500 31500 
3377 998 19 34500 31500 
3416 998 19 34500 31500 
3416 1075 19 34500 31500 
3416 1075 19 34500 31500 
3416 1075 19 34500 31500 
3416 1075 19 34500 31500 
3416 1075 19 34500 31500 
3416 1075 19 34500 31500 
3416 1075 19 34500 31500 
3454 1075 19 35000 31500 
3454 1075 19 35000 31500 
3454 1075 19 35000 31500 
3454 1075 19 35000 32000 
3454 1075 19 35000 32000 
3454 1075 19 35000 32000 
3492 1075 19 35000 32000 
3492 1075 19 35000 32000 
3492 1075 19 35000 32000 
3492 1075 19 35000 32000 
3492 1074 19 35000 32000 
3492 1074 19 35000 32000 
3492 1074 19 35000 32000 
3492 1074 19 35000 32000 
3492 1074 19 35000 32000 
3492 1074 19 35000 32000 
3531 1074 19 35000 32000 
3531 1074 19 35000 32000 
3531 1074 19 35000 32000 
3531 1074 19 35000 32000 
3531 1074 19 35000 32000 
3569 1151 19 35000 32000 
3608 1151 19 35000 32000 
3608 1151 76 35000 32000 
3608 1074 76 35000 31500 
3608 1074 76 35000 31500 
3608 1074 76 35000 31500 
3608 1074 76 35000 31500 
3608 1074 76 35000 31500 
3608 1074 76 35000 31500 
3608 1074 76 35000 31500 
3608 1074 76 35000 31500 
3608 1074 76 35000 31500 
3608 1074 76 35000 31500 
3608 1074 76 35000 31500 
3608 1074 76 35000 31500 
3608 1074 76 35000 31500 
3608 1074 76 35000 31500 
3608 1074 76 35000 31500 
3608 1151 76 35000 31500 
3608 1151 76 35000 31500 
3608 1151 76 35000 31500 
3608 1074 76 35000 31500 
3608 1074 76 35000 31500 
3569 1074 76 35000 31500 
3569 1074 76 34500 31500 
3569 1074 76 34500 31500 
3608 1074 76 34500 31500 
3569 1074 76 34500 31500 
3569 1074 76 34500 31500 
3569 1151 76 34500 31500 
3569 1151 76 34500 31500 
3569 1151 76 34500 31500 
3569 1151 76 34500 31500 
3608 1151 76 34500 31500 
3569 1151 76 34500 31500 
3569 1151 76 34500 31500 
3608 1151 76 34500 31500 
3569 1151 76 34500 31500 
3569 1151 76 34500 31500 
3569 1151 76 34500 31500 
3569 1151 76 34500 31500 
3569 1074 76 34500 31500 
3569 1074 76 34500 31500 
3569 1074 76 34500 31500 
3569 1074 76 34500 31500 
