Total_Power Total_CPU_Power Total_GPU_Power CPU_Temperature GPU_Temperature 
2648 307 19 34000 31000 
2648 307 19 34000 31000 
2686 307 19 34000 31000 
2725 384 19 34000 31000 
2763 384 19 34000 31000 
2763 384 19 34000 31000 
2802 384 19 34000 31000 
2840 384 19 34000 31000 
2840 460 19 34000 31000 
2840 460 19 34000 31000 
2878 460 19 34000 31000 
2878 460 19 34000 31000 
2917 537 19 34000 31000 
2955 537 19 34000 31000 
2955 537 19 34000 31000 
2955 537 19 34000 31000 
2993 614 19 34000 31000 
2993 614 19 34000 31000 
3032 614 19 34000 31000 
3032 614 19 34000 31000 
3032 614 19 34000 31000 
3070 691 19 34000 31000 
3070 691 19 34500 31000 
3147 768 19 34500 31000 
3224 768 19 34500 31000 
3224 768 76 34500 31000 
3224 768 76 34500 31000 
3262 844 76 34500 31000 
3262 844 76 34500 31000 
3262 844 76 34500 31000 
3301 844 76 34500 31000 
3301 844 76 34500 31000 
3301 844 76 34500 31000 
3339 844 76 34500 31000 
3339 844 76 34500 31000 
3339 844 76 34500 31000 
3339 921 76 34500 31000 
3339 921 76 34500 31000 
3377 921 76 34500 31000 
3377 921 76 34500 31000 
3377 921 76 34500 31000 
3377 921 76 34500 31000 
3377 921 76 34500 31000 
3377 921 76 34500 31000 
3377 921 76 34500 31000 
3377 921 76 34500 31000 
3377 921 76 34500 31000 
3377 921 76 34500 31000 
3416 921 76 34500 31000 
3416 921 76 34500 31000 
3416 921 76 34500 31000 
3416 921 76 34500 31000 
3416 921 76 34500 31000 
3416 921 76 34500 31000 
3416 921 76 34500 31000 
3416 921 76 34500 31000 
3416 921 76 34500 31000 
3416 921 76 34500 31000 
3416 921 76 34500 31000 
3416 921 76 34500 31000 
3416 921 76 34500 31000 
3416 921 76 34500 31000 
3416 921 76 34500 31000 
3416 921 76 34500 31000 
3416 921 76 34500 31000 
3454 921 76 34500 31000 
3454 997 76 34500 31000 
3454 997 76 34500 31000 
3454 997 76 34500 31000 
3454 997 76 34500 31000 
3454 997 76 34500 31000 
3454 997 76 34500 31000 
3454 997 76 34500 31000 
3454 997 76 34500 31000 
3454 997 76 34500 31000 
3454 997 76 34500 31000 
3416 997 76 34500 31000 
3416 997 76 34500 31000 
3416 997 76 34500 31000 
3454 997 76 34500 31000 
3454 921 76 34500 31000 
3416 921 76 34500 31000 
3416 921 76 34500 31000 
3416 921 76 34500 31000 
