Total_Power Total_CPU_Power Total_GPU_Power CPU_Temperature GPU_Temperature 
3606 844 19 33500 30500 
3644 921 76 33500 30500 
3644 921 76 33500 30500 
3683 921 76 33500 30500 
3683 921 76 33500 30500 
3683 921 76 33500 30500 
3721 921 76 33500 30500 
3721 921 76 33500 30500 
3721 921 19 33500 30500 
3760 921 19 33500 31000 
3760 997 19 33500 31000 
3760 997 76 33500 31000 
3760 997 76 33500 31000 
3798 997 76 33500 31000 
3798 997 76 33500 31000 
3798 997 76 33500 31000 
3798 997 76 33500 31000 
3798 997 76 33500 31000 
3836 997 76 33500 31000 
3836 997 19 33500 31000 
3836 997 19 33500 31000 
3836 997 19 33500 31000 
3836 997 19 33500 31000 
3798 997 19 33500 31000 
3798 997 19 33500 31000 
3798 997 19 33500 31000 
3798 997 19 33500 31000 
3798 1074 19 33500 31000 
3760 1074 19 33500 31000 
3760 1074 19 33500 31000 
3760 1074 19 33500 31000 
3760 1074 19 33500 31000 
3760 1074 19 33500 31000 
3760 1074 19 33500 31000 
3721 1074 19 33500 31000 
3721 1074 19 33500 31000 
3721 1074 19 33500 31000 
3721 1074 19 33500 31000 
3683 1074 19 33500 31000 
3683 1074 19 33500 31000 
3683 1074 19 33500 31000 
3683 1074 19 33500 31000 
3683 1074 76 33500 31000 
3683 1074 19 33500 31000 
3644 1074 76 33500 31000 
3644 1074 76 33500 31000 
3644 1074 76 33500 31000 
3644 1074 76 33500 31000 
3644 1074 76 34000 31000 
3644 1074 76 34000 31000 
3644 1074 76 34000 31000 
3606 1074 76 34000 31000 
3644 1074 76 34000 31000 
3644 1074 76 34000 31000 
3606 1074 76 34000 31000 
3606 1074 76 34000 31000 
3606 1074 76 34000 31000 
3608 1074 76 34000 31000 
3608 1074 76 34000 31000 
3608 1074 76 34000 31000 
3608 1074 76 34000 31000 
3608 1074 76 34000 31000 
3569 1074 76 34000 31000 
3569 1074 76 34000 31000 
3569 1074 76 34000 31000 
3569 1074 76 34000 31000 
3569 1074 76 34000 31000 
3569 1074 76 34000 31000 
3569 1074 76 34000 31000 
3569 1074 76 34000 31000 
