Total_Power Total_CPU_Power Total_GPU_Power CPU_Temperature GPU_Temperature 
2610 230 19 34500 31500 
2610 307 19 34500 31500 
2648 307 19 34500 31500 
2686 307 19 34500 31500 
2725 384 19 34500 31500 
2763 384 19 34500 31500 
2763 384 19 34500 31500 
2840 460 19 34500 31500 
2840 460 19 34500 31500 
2878 460 19 34500 31500 
2917 537 19 34500 31500 
2955 537 19 34500 31500 
2955 537 19 34500 31500 
2993 537 19 34500 31500 
2993 614 19 34500 31500 
3032 614 19 34500 31500 
3032 614 19 34500 31500 
3032 614 19 34500 31500 
3070 614 19 34500 31500 
3070 691 19 34500 31500 
3070 691 19 34500 31500 
3109 691 19 34500 31500 
3109 691 19 34500 31500 
3147 691 19 34500 31500 
3147 691 19 34500 31500 
3147 768 19 35000 31500 
3147 768 19 35000 31500 
3147 768 19 35000 31500 
3147 768 19 35000 31500 
3147 768 19 35000 31500 
3147 768 19 35000 31500 
3147 768 19 35000 31500 
3147 768 19 35000 31500 
3147 768 19 35000 31500 
3147 768 19 35000 31500 
3147 768 19 35000 31500 
3147 768 19 35000 31500 
3147 768 19 35000 31500 
3185 768 19 35000 31500 
3185 768 19 35000 31500 
3185 768 19 35000 31500 
3185 768 19 35000 31500 
3185 768 19 35000 31500 
3185 844 19 35000 31500 
3185 844 19 35000 31500 
3224 844 19 35000 31500 
3224 844 19 35000 31500 
3224 844 19 35000 31500 
3224 844 19 35000 31500 
3224 844 19 35000 31500 
3224 844 19 35000 31500 
3224 844 19 35000 31500 
3224 844 19 35000 31500 
3262 844 19 35000 31500 
3262 921 19 35000 31500 
3262 921 19 35000 31500 
3301 921 19 35000 31500 
3301 921 19 35000 31500 
3301 921 19 35000 31500 
3301 921 19 35000 31500 
3301 921 19 35000 31500 
3301 921 19 35000 31500 
3301 921 19 35000 31500 
3301 921 19 35000 31500 
3301 921 19 35000 31500 
3301 921 19 35000 31500 
3301 921 19 35000 31500 
3301 921 19 35000 31500 
3301 921 19 35000 31500 
3301 921 19 35000 31500 
3301 921 19 35000 31500 
3301 921 19 35000 31500 
3301 921 19 35000 31500 
3339 921 19 35000 31500 
3339 921 19 35000 31500 
3339 921 19 35000 31500 
3339 921 19 35000 31500 
3339 921 19 35000 31500 
3377 921 19 35000 31500 
3377 921 19 35000 31500 
3339 921 19 35000 31500 
3339 921 19 35000 31500 
3339 921 19 35000 31500 
3377 921 19 35000 31500 
3377 921 19 35000 31500 
3377 921 19 35000 31500 
3377 998 19 35000 31500 
3377 998 19 35000 31500 
3377 998 19 35000 31500 
3377 998 19 35000 31500 
3377 998 19 35000 31500 
3377 998 19 35000 31500 
3377 997 19 35000 31500 
3416 997 19 35000 31500 
3377 997 19 35000 31500 
3377 997 19 35000 31500 
3377 998 19 35000 31500 
3377 997 19 35000 31500 
3377 997 19 35000 31500 
3377 997 19 35000 31500 
3377 997 19 35000 31500 
3377 997 19 35000 31500 
3416 997 19 35000 31500 
3416 997 19 35000 31500 
