Total_Power Total_CPU_Power Total_GPU_Power CPU_Temperature GPU_Temperature 
2840 307 76 35500 33000 
2878 307 76 35500 33000 
2917 307 76 35500 33000 
2955 307 76 35500 33000 
2955 384 76 35500 33000 
2993 384 76 35500 33000 
3032 384 76 35500 33000 
3070 384 76 35500 33000 
3070 460 76 35500 33000 
3109 460 76 35500 33000 
3147 460 76 35500 33000 
3147 460 76 35500 33000 
3185 537 76 35500 33000 
3185 537 76 35500 33000 
3224 537 76 35500 33000 
3262 537 76 35500 33000 
3262 537 76 35500 33000 
3301 614 76 36000 33000 
3339 614 76 36000 33000 
3339 614 76 36000 33000 
3339 614 76 36000 33000 
3377 614 76 36000 33000 
3377 614 76 36000 33000 
3416 691 76 36000 33000 
3416 690 76 36000 33000 
3454 690 76 36000 33000 
3454 690 76 36000 33000 
3492 690 76 36000 33000 
3492 690 76 36000 33000 
3492 690 76 36000 33000 
3492 690 76 36000 33000 
3492 767 76 36000 33000 
3492 767 76 36000 33000 
3492 767 19 36000 33000 
3492 767 19 36000 33000 
3531 767 19 36000 33000 
3531 767 19 36000 33000 
3531 844 19 36000 33000 
3531 844 19 36000 33000 
3531 844 19 36000 33000 
3531 844 19 36000 33000 
3531 844 19 36000 33000 
3492 844 19 36000 33000 
3492 844 19 36000 33000 
3492 844 19 36000 33000 
3492 844 19 36000 33000 
3492 844 19 36000 33000 
3492 921 19 36000 33000 
3492 921 19 36000 33000 
3492 921 19 36000 33000 
3492 921 19 36000 33000 
3492 921 19 36000 33000 
3492 921 19 36000 33000 
3492 921 19 36000 33000 
3492 921 19 36000 33000 
3492 921 19 36000 33000 
3492 921 19 36000 33000 
3454 921 19 36000 33000 
3454 921 19 36000 33000 
3454 921 19 36000 33000 
3454 921 19 36000 33000 
3454 921 19 36000 33000 
3454 921 19 36000 33000 
3454 921 19 36000 33000 
3454 921 19 36000 33000 
3454 921 19 36000 33000 
3492 997 19 36000 33500 
3492 997 19 36000 33500 
3492 997 19 36000 33500 
3454 997 19 36000 33500 
3454 997 19 36000 33500 
3454 921 19 36000 33500 
3454 921 19 36000 33500 
3454 921 19 36000 33500 
3416 921 19 36000 33500 
3416 921 19 36000 33500 
3454 921 19 36000 33500 
3454 921 19 36000 33500 
3454 921 19 36000 33500 
3454 997 19 36000 33500 
3454 997 19 36000 33500 
3454 997 19 36000 33500 
3454 921 19 36000 33500 
3416 921 19 36000 33500 
3416 997 19 36000 33500 
3454 997 19 36000 33500 
3454 997 19 36000 33500 
3454 997 19 36000 33500 
3454 997 19 36000 33500 
3454 997 19 36000 33500 
3454 997 19 36000 33500 
3454 997 19 36000 33500 
3454 997 19 36000 33500 
3454 997 19 36000 33500 
3454 997 19 36000 33500 
3454 997 19 36000 33500 
3454 997 19 36000 33500 
3454 997 19 36000 33500 
3454 997 19 36000 33500 
3454 997 19 36000 33500 
3454 997 19 36000 33500 
3454 997 19 36000 33500 
3454 997 19 36000 33500 
3454 997 19 36000 33500 
3454 997 19 36000 33500 
3454 997 19 36000 33500 
3492 997 19 36000 33500 
3492 997 19 36000 33500 
3492 997 19 36000 33500 
3492 997 19 36000 33500 
3492 997 19 36000 33500 
3492 997 19 36000 33500 
3492 1074 19 36000 33500 
3492 1074 19 36000 33500 
3492 1074 19 36000 33500 
3492 997 19 36000 33000 
3492 997 19 36000 33000 
3492 997 19 36000 33000 
3492 997 19 36000 33000 
3492 997 19 36000 33000 
3492 997 19 36000 33000 
3492 997 76 36000 33000 
3492 997 76 36000 33000 
3492 997 76 36000 33000 
3492 997 76 36000 33000 
3492 997 76 36000 33000 
3492 1074 76 36000 33000 
3492 1074 76 36000 33000 
3492 1074 76 36000 33000 
3492 1074 76 36000 33000 
3492 1074 76 36000 33000 
3492 1074 76 36000 33000 
3492 1074 76 36000 33000 
3492 1074 76 36000 33000 
3492 1074 76 36000 33000 
3492 1074 76 36000 33000 
3492 1074 76 36000 33000 
3492 1074 76 36000 33000 
3492 1074 76 36000 33000 
3492 1074 76 36000 33000 
3492 1074 76 36500 33000 
3531 1074 19 36500 33000 
3531 1074 19 36500 33000 
3531 1074 19 36500 33000 
3492 1074 19 36500 33000 
3492 1074 19 36500 33000 
3492 1074 19 36500 33000 
3492 1074 19 36500 33000 
3492 1074 19 36500 33000 
3492 1074 19 36500 33000 
3492 1074 19 36500 33000 
3531 1074 19 36500 33000 
3531 1074 19 36500 33000 
3531 1074 19 36500 33000 
