Total_Power Total_CPU_Power Total_GPU_Power CPU_Temperature GPU_Temperature 
3109 384 76 36000 33000 
3147 460 76 36000 32500 
3224 537 76 36000 32500 
3301 537 76 36000 32500 
3377 614 76 36000 32500 
3377 691 76 36000 32500 
3492 690 76 36000 32500 
3531 767 76 36000 32500 
3569 844 76 36000 32500 
3646 844 76 36000 32500 
3721 921 76 36000 32500 
3721 921 76 36000 32500 
3798 997 76 36000 32500 
3836 1074 76 36000 32500 
3875 1074 76 36000 32500 
3951 1151 76 36000 32500 
3951 1228 76 36000 32500 
4028 1228 76 36000 32500 
4067 1228 76 36000 32500 
4143 1305 76 36000 32500 
4182 1381 76 36000 32500 
4220 1381 76 36000 32500 
4258 1381 76 36000 32500 
4297 1458 76 36000 32500 
4335 1458 76 37000 32500 
4373 1458 76 37000 32500 
4412 1535 76 37000 32500 
4450 1535 76 37000 32500 
4450 1612 76 37000 32500 
4489 1612 76 37000 32500 
4527 1612 76 37000 32500 
4527 1612 76 37000 32500 
4565 1688 76 37000 33000 
4642 1688 76 37000 33000 
4642 1765 76 37000 33000 
4680 1765 76 37000 33000 
4719 1765 76 37000 33000 
4757 1842 76 37000 33000 
4796 1841 76 37000 33000 
4796 1918 76 37000 33000 
4834 1995 76 37000 33000 
4872 1995 76 37000 33000 
4872 1995 19 37000 33000 
4911 1995 19 37000 33000 
4911 2071 19 37000 33000 
4949 2071 76 37000 33000 
4987 2071 19 37000 33000 
5026 2148 76 37000 33000 
5064 2148 19 37000 33000 
5102 2148 76 37000 33000 
5102 2148 19 37000 33000 
5102 2148 19 37000 33000 
5141 2225 76 37000 33000 
5179 2225 19 37000 33000 
5179 2225 19 37500 33000 
5179 2225 19 37500 33000 
5218 2225 19 37500 33000 
5254 2302 19 37500 33000 
5254 2302 19 37500 33000 
5292 2302 19 37500 33000 
5292 2302 19 37500 33000 
5330 2302 19 37500 33000 
5330 2378 19 37500 33500 
5369 2378 19 37500 33500 
5369 2455 19 37500 33500 
5369 2455 19 37500 33500 
5369 2455 19 37500 33500 
5407 2455 19 37500 33500 
5445 2455 19 37500 33500 
5484 2532 19 37500 33500 
5484 2532 19 37500 33500 
5484 2532 19 37500 33500 
5484 2532 19 37500 33500 
5484 2532 19 37500 33500 
5522 2532 19 37500 33500 
5522 2532 19 37500 33500 
5561 2532 19 37500 33500 
5561 2532 19 37500 33500 
5561 2609 19 37500 33500 
5599 2609 19 37500 33500 
5599 2609 19 37500 33500 
5599 2609 19 37500 33500 
5637 2609 19 37500 33500 
5637 2685 19 37500 33500 
5637 2685 19 37500 33500 
5637 2685 19 37500 33500 
5637 2685 19 37500 33500 
5637 2685 19 37500 33500 
5599 2685 19 37500 33500 
5599 2609 19 37500 33500 
5599 2609 19 37500 33500 
5599 2685 19 37500 33500 
5637 2685 19 37500 33000 
5637 2685 19 37500 33000 
5637 2685 19 37500 33000 
5676 2685 19 37500 33000 
5676 2685 19 37500 33000 
5676 2685 19 37500 33000 
5676 2685 19 37500 33000 
5676 2685 19 37500 33000 
5714 2685 19 37500 33000 
5714 2685 19 37500 33000 
5714 2685 19 37500 33000 
5714 2685 19 37500 33000 
5714 2685 19 37500 33000 
5714 2685 19 37500 33000 
5676 2685 19 37500 33000 
5676 2685 19 37500 33000 
5676 2685 19 37500 33000 
5637 2685 19 37500 33000 
5637 2609 19 37500 33000 
5599 2609 19 37500 33000 
5599 2609 19 37500 33000 
5637 2609 19 37500 33000 
5637 2685 19 37500 33000 
5637 2685 19 37500 33000 
5637 2685 19 37500 33000 
5637 2609 19 37500 33000 
5599 2609 19 37500 33000 
5599 2609 19 37500 33000 
5599 2609 19 37500 33000 
5599 2609 19 37500 33000 
5599 2609 19 37500 33000 
5599 2609 19 37500 33000 
5637 2685 19 37500 33000 
5637 2685 19 37500 33000 
5676 2685 19 37500 33000 
5714 2685 19 37500 33000 
5714 2685 19 37500 33000 
5714 2685 19 37500 33000 
5714 2685 19 37500 33000 
5752 2762 19 37500 33000 
5752 2762 19 37500 33000 
5752 2762 19 37500 33000 
5752 2762 19 37500 33000 
5752 2762 19 37500 33000 
5752 2762 19 37500 33000 
5752 2762 19 37500 33000 
5752 2762 19 37500 33000 
5752 2762 19 37500 33000 
5714 2762 19 37500 33000 
5714 2762 19 37500 33000 
5752 2762 19 37500 33000 
5752 2762 19 37500 33000 
5752 2762 19 37500 33000 
5714 2839 19 37500 33000 
5752 2839 19 37500 33000 
5752 2839 19 37500 33000 
5791 2839 19 37500 33000 
5752 2839 19 37500 33000 
5752 2839 19 37500 33000 
5791 2839 19 37500 33000 
5829 2839 19 37500 33000 
5829 2839 19 37500 33000 
5829 2839 19 37500 33000 
5829 2839 19 37500 33000 
5829 2839 19 37500 33000 
5829 2839 19 37500 33000 
5829 2839 19 37500 33000 
5829 2839 19 37500 33000 
5829 2839 19 37500 33000 
5829 2839 19 37500 33000 
5829 2839 19 37500 33000 
5829 2839 19 37500 33000 
5867 2839 19 37500 33000 
5867 2839 19 37500 33000 
5867 2839 19 37500 33000 
5867 2839 19 37500 33000 
5867 2839 19 37500 33000 
5906 2839 19 37500 33000 
5906 2839 19 37500 33000 
5906 2839 19 37500 33000 
5906 2839 19 37500 33000 
5906 2839 19 37500 33000 
5906 2839 19 37500 33000 
5906 2839 19 37500 33000 
5906 2839 19 37500 33000 
5906 2839 19 37500 33000 
5906 2839 19 37500 33000 
5906 2839 19 37500 33000 
5906 2839 19 37500 33000 
5906 2839 19 37500 33000 
5906 2839 19 37500 33000 
5906 2839 19 37500 33000 
5906 2839 19 37500 33000 
5906 2839 19 37500 33000 
5906 2839 19 37500 33000 
5906 2839 19 37500 33000 
5906 2839 19 37500 33000 
5906 2839 19 37500 33000 
5906 2915 19 37500 33000 
5906 2914 19 37500 33000 
5906 2914 19 37500 33000 
5906 2838 19 37500 33000 
5906 2839 19 37500 33000 
5906 2839 19 37500 33000 
5906 2839 19 37500 33000 
5906 2839 19 37500 33000 
5906 2839 19 37500 33000 
5906 2839 19 37500 33000 
5906 2915 19 37500 33000 
