Total_Power Total_CPU_Power Total_GPU_Power CPU_Temperature GPU_Temperature 
3147 460 76 36000 33500 
3224 537 76 36000 33500 
3301 614 76 36000 33500 
3377 691 76 36000 33500 
3416 691 76 36000 33500 
3492 767 76 36000 33500 
3569 844 76 36000 33500 
3569 844 76 36000 33500 
3646 921 76 36000 33500 
3723 997 76 36000 33500 
3761 997 76 36000 33500 
3836 1074 76 36000 33500 
3913 1151 76 36000 33500 
3951 1228 76 36000 33500 
4028 1228 76 36000 33500 
4067 1305 76 36000 33500 
4105 1305 76 36000 33500 
4143 1381 76 36000 33500 
4220 1381 76 36000 33500 
4258 1458 76 36000 33500 
4297 1458 76 36000 33500 
4335 1535 76 36000 33500 
4373 1535 76 36000 33500 
4450 1535 76 36000 33500 
4450 1612 76 36000 33500 
4489 1612 76 36000 33500 
4527 1612 76 37000 33500 
4565 1688 76 37000 33500 
4604 1765 76 37000 33500 
4604 1765 76 37000 33500 
4642 1765 76 37000 33500 
4680 1842 76 37000 33500 
4719 1842 76 37000 33500 
4757 1841 76 37000 33500 
4796 1918 76 37000 33500 
4834 1918 76 37000 33500 
4834 1918 76 37000 33500 
4872 1918 76 37000 33500 
4872 1995 76 37000 33500 
4911 1995 76 37000 33500 
4949 1995 76 37000 33500 
4949 1995 76 37000 33500 
4987 2071 76 37000 33500 
4987 2071 76 37000 33500 
5026 2071 76 37000 33500 
5026 2148 76 37000 33500 
5064 2148 76 37000 33500 
5064 2148 76 37000 33500 
5102 2148 76 37000 33500 
5141 2148 76 37000 33500 
5141 2225 76 37000 33500 
5141 2225 76 37000 33500 
5179 2225 76 37000 33500 
5218 2225 76 37000 33500 
5218 2302 76 37000 33500 
5256 2302 76 37000 33500 
5256 2302 76 37000 33500 
5256 2302 76 37500 33500 
5256 2378 76 37500 33500 
5294 2378 76 37500 33500 
5333 2378 76 37500 33500 
5333 2378 76 37500 33500 
5371 2378 76 37500 33500 
5371 2378 76 37500 33500 
5371 2378 76 37500 33500 
5369 2378 76 37500 33500 
5369 2378 76 37500 33500 
5407 2378 76 37500 33500 
5407 2378 76 37500 33500 
5407 2378 76 37500 33500 
5407 2378 76 37500 33500 
5407 2378 76 37500 33500 
5445 2455 19 37500 33500 
5445 2455 19 37500 33500 
5445 2455 19 37500 33500 
5445 2455 19 37500 33500 
5445 2455 19 37500 33500 
5484 2455 19 37500 33500 
5484 2455 19 37500 33500 
5484 2455 19 37500 33500 
5522 2532 19 37500 33500 
5522 2532 19 37500 33500 
5484 2532 19 37500 33500 
5484 2532 19 37500 33500 
5522 2532 19 37500 33500 
5522 2532 19 37500 33500 
5522 2532 19 37500 33500 
5522 2532 19 38000 34000 
5522 2532 19 38000 34000 
5561 2532 19 38000 34000 
5561 2532 19 38000 34000 
5561 2609 19 38000 34000 
5599 2609 19 38000 34000 
5561 2609 19 38000 34000 
5599 2609 19 38000 34000 
5599 2609 19 38000 34000 
5599 2609 19 38000 34000 
5637 2609 19 38000 34000 
5637 2609 19 38000 34000 
5637 2609 19 38000 34000 
5637 2609 19 38000 34000 
5637 2609 19 38000 34000 
5676 2609 19 38000 34000 
5676 2685 19 38000 34000 
5676 2685 19 38000 34000 
5676 2685 19 38000 34000 
5714 2685 19 38000 34000 
5676 2685 19 38000 34000 
5714 2685 19 38000 34000 
5676 2685 19 38000 34000 
5714 2685 19 38000 34000 
5714 2685 19 38000 34000 
5714 2685 19 38000 34000 
5714 2685 19 38000 34000 
5714 2685 19 38000 34000 
5752 2685 76 38000 34000 
5752 2685 19 38000 34000 
5752 2685 19 38000 34000 
5752 2685 19 38000 33500 
5752 2685 19 38000 33500 
5714 2685 19 38000 33500 
5714 2685 19 38000 33500 
5714 2685 19 38000 33500 
5714 2685 19 38000 33500 
5714 2685 19 38000 33500 
5714 2685 19 38000 33500 
5714 2685 19 38000 33500 
5714 2685 19 38000 33500 
5752 2685 19 38000 33500 
5752 2685 19 38000 33500 
5752 2685 19 38000 33500 
5752 2685 19 38000 33500 
5791 2762 19 38000 33500 
5752 2762 19 38000 33500 
5752 2685 19 38000 33500 
5752 2685 19 38000 33500 
5752 2685 19 38000 33500 
5752 2762 19 38000 33500 
5752 2685 19 38000 33500 
5752 2685 19 38000 33500 
5791 2762 19 38000 33500 
5791 2762 76 38000 33500 
5867 2761 76 38000 33500 
5867 2761 76 38000 33500 
5906 2762 76 38000 33500 
5906 2761 76 38000 33500 
5906 2761 76 38000 33500 
5944 2761 76 38000 33500 
5944 2761 76 38000 33500 
5944 2761 76 38000 33500 
5944 2761 76 38000 33500 
5944 2838 76 38000 33500 
5944 2838 76 38000 33500 
5982 2838 76 38000 33500 
5982 2838 76 38000 33500 
5982 2838 76 38000 33500 
6021 2838 76 38000 33500 
6021 2838 76 38000 33500 
6021 2838 76 38000 33500 
6059 2838 76 38000 33500 
6021 2838 76 38000 33500 
6021 2838 76 38000 33500 
6021 2838 76 38000 33500 
6021 2838 76 38000 33500 
6059 2838 76 38000 33500 
6059 2838 153 38000 33500 
6059 2838 153 38000 33500 
6059 2838 153 38000 33500 
6059 2838 153 38000 33500 
6059 2838 153 38000 33500 
6059 2838 153 38000 33500 
6097 2838 153 38000 33500 
6059 2838 153 38000 33500 
6059 2914 153 38000 33500 
6097 2914 153 38000 33500 
6097 2914 153 38000 34000 
6097 2914 153 38000 34000 
6136 2914 153 38000 34000 
6136 2914 153 38000 34000 
6136 2914 153 38000 34000 
6174 2914 153 38000 34000 
6174 2914 153 38000 34000 
6174 2914 153 38000 34000 
6174 2914 153 38000 34000 
6174 2914 153 38000 34000 
6174 2914 153 38000 34000 
6213 2914 153 38000 34000 
6213 2914 153 38000 34000 
6174 2914 153 38000 34000 
6174 2914 153 38000 34000 
6174 2914 153 38000 34000 
6174 2914 153 38000 34000 
6213 2914 153 38000 34000 
6174 2914 153 38000 34000 
6174 2914 153 38000 34000 
6174 2914 153 38000 34000 
6174 2914 153 38000 34000 
6174 2914 153 38000 34000 
6136 2914 153 38000 34000 
6136 2914 153 38000 34000 
6136 2914 153 38000 34000 
6136 2914 153 38000 34000 
6097 2914 153 38000 34000 
6097 2914 153 38000 34000 
6059 2914 153 38000 34000 
6059 2914 153 38000 34000 
6059 2838 153 38000 34000 
6059 2838 153 38000 34000 
6059 2838 153 38000 34000 
6059 2839 76 38000 34000 
6059 2839 76 38000 34000 
6021 2839 76 38000 34000 
6021 2839 76 38000 34000 
6021 2915 76 38000 34000 
5982 2839 76 38000 34000 
5982 2839 76 38000 34000 
5982 2839 76 38000 34000 
5982 2839 76 38000 34000 
5982 2839 76 38000 34000 
5944 2839 76 38000 34000 
5944 2839 76 38000 34000 
5944 2839 76 38000 34000 
5944 2839 76 38000 34000 
5944 2839 76 38000 34000 
5944 2839 76 38000 34000 
5906 2839 76 38000 34000 
5906 2839 76 38000 34000 
5906 2839 76 38000 34000 
5906 2839 76 38000 34000 
5906 2839 76 38000 34000 
5867 2839 76 38000 34000 
5867 2839 76 38000 34000 
5867 2762 76 38000 34000 
5829 2762 76 38000 34000 
5829 2762 76 38000 34000 
5791 2762 76 38000 34000 
5791 2762 76 37500 34000 
5752 2762 76 37500 34000 
5752 2762 76 37500 34000 
5752 2685 76 37500 34000 
5714 2685 76 37500 34000 
5714 2685 76 37500 34000 
5714 2685 76 37500 34000 
5676 2685 76 37500 34000 
5676 2685 76 37500 34000 
5637 2685 76 37500 34000 
5637 2685 76 37500 34000 
5599 2609 76 37500 34000 
5599 2609 76 37500 34000 
5599 2609 76 37500 34000 
5561 2609 76 37500 34000 
5599 2609 76 37500 34000 
5599 2609 76 37500 34000 
5561 2609 76 37500 34000 
5561 2609 76 37500 34000 
5561 2609 76 37500 34000 
5561 2609 76 37500 34000 
5599 2609 76 37500 34000 
5599 2609 76 37500 34000 
5599 2609 76 37500 34000 
5599 2609 76 37500 34000 
5599 2609 76 37500 34000 
5599 2609 76 37500 34000 
5599 2609 76 37500 34000 
5561 2609 76 37500 34000 
5561 2609 76 37500 34000 
5522 2532 76 37500 34000 
5522 2532 76 38000 34000 
5522 2532 76 38000 34000 
5561 2609 76 38000 34000 
5561 2609 76 38000 34000 
5561 2609 76 38000 34000 
5599 2609 76 38000 34000 
5599 2609 76 38000 34000 
5599 2685 76 38000 34000 
5637 2685 76 38000 34000 
5637 2685 76 38000 34000 
5637 2685 76 38000 34000 
5637 2685 76 38000 34000 
5637 2685 76 38000 34000 
5676 2762 76 38000 34000 
5676 2762 76 38000 34000 
5676 2762 76 38000 34000 
5714 2762 76 38000 34000 
5714 2762 76 38000 34000 
5752 2762 76 38000 34000 
5752 2762 76 38000 34000 
5752 2762 76 38000 34000 
5752 2762 76 38000 34000 
5752 2762 76 38000 34000 
5752 2762 76 38000 34000 
5752 2762 76 38000 34000 
5752 2762 76 38000 34000 
5752 2762 76 38000 34000 
5791 2762 76 38000 34000 
5791 2762 76 38000 34000 
5791 2762 76 38000 34000 
5791 2762 76 38000 34000 
5791 2839 76 38000 34000 
5791 2839 76 38000 34000 
5791 2839 76 38000 34000 
5791 2839 76 38000 34000 
5791 2839 76 38000 34000 
5829 2839 76 38000 34000 
5829 2839 76 38000 34000 
5829 2839 76 38000 34000 
5829 2839 76 38000 34000 
5829 2839 76 38000 34000 
5829 2839 76 38000 34000 
5867 2839 76 38000 34000 
5867 2839 76 38000 34000 
5867 2839 76 38000 34000 
5867 2839 76 38000 34000 
5829 2839 76 38000 34000 
5867 2839 76 38000 34000 
5867 2839 76 38000 34000 
5906 2915 76 38000 34000 
5906 2915 76 38000 34000 
5906 2915 76 38000 34000 
5906 2915 19 38000 34000 
5906 2915 19 38000 34000 
5906 2915 19 38000 34000 
5906 2915 76 38000 34000 
5944 2915 76 38000 34000 
5944 2915 19 38000 34000 
5944 2915 19 38000 34000 
5944 2915 19 38000 34000 
5944 2915 19 38000 34000 
5944 2915 19 38000 34000 
5944 2915 19 38000 34000 
5982 2915 19 38000 34000 
5982 2915 19 38000 34000 
5982 2992 19 38000 34000 
5982 2992 19 38000 34000 
5982 2992 19 38000 34000 
5982 2992 19 38000 34000 
5982 2992 19 38000 34000 
6021 2991 19 38000 34000 
6021 2991 19 38000 34000 
6021 2991 19 38000 34000 
6059 2991 19 38000 34000 
6059 2991 19 38000 34000 
6021 2991 19 38000 34000 
6021 2991 19 38000 34000 
6021 2992 19 38000 34000 
5982 2992 19 38000 34000 
5982 2915 19 38000 34000 
5982 2915 19 38000 34000 
5944 2915 19 38000 34000 
5944 2915 19 38000 34000 
5944 2915 19 38000 34000 
5944 2915 19 38000 34000 
5906 2915 19 38000 34000 
5906 2839 19 38000 34000 
5867 2915 19 38000 34000 
5867 2839 19 38000 34000 
5906 2839 19 38000 34000 
5906 2839 19 38500 34000 
5867 2839 19 38500 34000 
5867 2839 19 38500 34000 
5906 2839 19 38500 34000 
5867 2839 76 38500 34000 
5867 2839 76 38500 34000 
5906 2839 19 38500 34000 
5867 2839 19 38500 34000 
5867 2839 19 38500 34000 
5867 2839 19 38500 34000 
5867 2839 76 38500 34000 
5867 2839 19 38500 34000 
5906 2839 19 38500 34000 
5906 2839 19 38500 34000 
5906 2839 19 38500 34000 
5906 2839 19 38500 34000 
5906 2839 19 38500 34000 
5906 2915 19 38500 34000 
5906 2839 19 38500 34000 
5906 2839 19 38500 34000 
5906 2839 76 38500 34000 
5906 2839 76 38500 34000 
5944 2839 76 38500 34000 
5906 2839 19 38500 34000 
5906 2839 19 38500 34000 
5906 2839 19 38500 34000 
5906 2839 19 38500 34000 
5944 2839 19 38500 34000 
5944 2839 19 38500 34000 
5944 2839 19 38500 34000 
5982 2839 19 39000 34000 
5982 2839 19 39000 34000 
5982 2839 19 39000 34000 
5982 2839 19 39000 34000 
5982 2915 19 39000 34000 
5982 2915 19 39000 34000 
6021 2915 19 39000 34000 
6021 2915 19 39000 34000 
6021 2915 19 39000 34000 
6021 2915 19 39000 34000 
6021 2915 19 39000 34000 
6021 2915 19 39000 34000 
6021 2915 19 39000 34000 
6021 2992 19 39000 34000 
6021 2992 19 39000 34000 
6021 2992 19 39000 34000 
6021 2991 19 39000 34000 
6021 2992 76 39000 34000 
6021 2992 76 39000 34000 
6021 2992 19 39000 34000 
6021 2915 19 39000 34000 
6021 2991 19 39000 34000 
6021 2991 19 39000 34000 
6021 2991 19 39000 34000 
6021 2991 19 39000 34000 
6021 2991 19 39000 34000 
6021 2991 19 39000 34000 
6021 2991 19 39000 34000 
6021 2991 19 39000 34000 
6021 2991 19 39000 34000 
6021 2992 19 39000 34000 
6021 2992 19 39000 34000 
6021 2992 19 39000 34000 
6021 2991 19 39000 34000 
6021 2991 19 39000 34000 
6021 2992 19 39000 34000 
6021 2992 19 39000 34000 
6021 2992 19 39000 34000 
5982 2992 19 39000 34000 
6021 2992 76 39000 34000 
6021 2992 76 39000 34000 
6021 2992 76 39000 34000 
5982 2992 19 39000 34000 
6021 2992 19 39000 34000 
6021 2992 76 39000 34000 
6021 2992 76 39000 34000 
5982 2992 76 39000 34000 
5982 2992 76 39000 34000 
5982 2992 19 39000 34000 
5982 2992 76 39000 34000 
5982 2992 19 39000 34000 
5982 2992 19 39000 34000 
5982 2991 19 39000 34000 
5982 2991 19 39000 34000 
5982 2992 76 39000 34000 
5982 2992 76 39000 34000 
5982 2991 76 39000 34000 
