Total_Power Total_CPU_Power Total_GPU_Power CPU_Temperature GPU_Temperature 
3109 384 76 35000 32000 
3185 460 76 35000 32000 
3262 537 76 35000 32000 
3301 537 76 35000 32000 
3377 614 76 35000 32000 
3454 690 76 35000 32000 
3492 690 76 35000 32000 
3569 767 76 35000 32000 
3608 767 76 35000 32000 
3646 844 76 35000 32000 
3684 921 76 35000 32000 
3760 921 76 35000 32000 
3798 997 76 35000 32000 
3836 1074 76 35000 32000 
3875 1074 76 35000 32000 
3951 1151 76 35000 32000 
3990 1228 76 35000 32000 
3990 1228 76 35000 32000 
4067 1228 76 35000 32000 
4143 1305 76 35000 32000 
4182 1305 76 35000 32000 
4220 1381 76 35000 32000 
4258 1381 76 35000 32000 
4297 1381 76 35000 32000 
4335 1458 76 37000 32000 
4335 1458 76 37000 32000 
4412 1535 76 37000 32000 
4450 1535 76 37000 32000 
4489 1535 76 37000 32000 
4489 1612 76 37000 32000 
4565 1612 76 37000 32000 
4565 1688 76 37000 32000 
4604 1688 76 37000 32000 
4642 1688 76 37000 32000 
4680 1765 76 37000 32000 
4719 1765 76 37000 32500 
4719 1841 76 37000 32500 
4757 1841 76 37000 32500 
4834 1841 76 37000 32500 
4834 1918 76 37000 32500 
4872 1918 76 37000 32500 
4872 1918 76 37000 32500 
4872 1918 76 37000 32500 
4949 1995 76 37000 32500 
4949 1995 76 37000 32500 
4987 2071 19 37000 32500 
5026 2071 19 37000 32500 
5026 2071 76 37000 32500 
5026 2071 19 37000 32500 
5064 2071 76 37000 32500 
5064 2148 76 37000 32500 
5102 2148 19 37000 32500 
5102 2148 19 37000 32500 
5102 2148 19 37000 32500 
5141 2225 19 37000 32500 
5141 2225 19 37000 32500 
5141 2225 19 37000 32500 
5179 2225 19 37000 32500 
5179 2225 19 37000 32500 
5179 2302 19 37000 32500 
5218 2302 19 37000 32500 
5218 2302 19 37000 32500 
5254 2378 19 37000 32500 
5254 2378 19 37000 32500 
5254 2378 19 37000 32500 
5254 2378 19 37000 32500 
5292 2378 19 37000 32500 
5292 2378 19 37000 32500 
5292 2378 19 37000 32500 
5292 2378 76 37000 32500 
5292 2378 19 37000 32500 
5292 2378 19 37000 32500 
5330 2455 19 37000 32500 
5330 2455 19 37000 32500 
5369 2455 76 37000 32500 
5369 2455 19 37000 32500 
5369 2455 76 37000 32500 
5369 2455 76 37000 32500 
5369 2532 19 37000 32500 
5369 2532 76 37000 32500 
5407 2532 76 37000 32500 
5407 2532 76 37000 32500 
5407 2455 19 37000 32500 
5407 2455 76 37000 32500 
5407 2455 76 37000 32500 
5407 2455 19 36500 32500 
5407 2455 19 36500 32500 
5445 2455 19 36500 32500 
5484 2455 19 36500 32500 
5484 2532 19 36500 32500 
5484 2532 19 36500 32500 
5522 2532 19 36500 32500 
5522 2532 19 36500 32500 
5561 2609 19 36500 32500 
5561 2609 19 36500 32500 
5561 2609 19 36500 32500 
5599 2609 19 36500 32500 
5599 2609 19 36500 32500 
5599 2609 19 36500 32500 
5599 2609 19 36500 32500 
5599 2609 19 36500 32500 
5637 2685 19 36500 32500 
5637 2685 19 36500 32500 
5637 2685 19 36500 32500 
5637 2685 19 36500 32500 
5637 2685 19 36500 32500 
5676 2685 19 36500 32500 
5676 2685 19 36500 32500 
5637 2685 19 36500 32500 
5676 2685 19 36500 32500 
5676 2685 19 36500 32500 
5676 2685 19 36500 32500 
5676 2685 19 36500 32500 
5676 2685 19 36500 32500 
5676 2685 19 36500 32500 
5676 2685 19 36500 32500 
5714 2685 19 36500 32500 
5714 2685 76 36500 32500 
5752 2685 19 36500 32500 
5752 2685 19 36500 32500 
5752 2685 76 36500 32500 
5752 2685 19 36500 32500 
5752 2685 19 36500 32500 
5752 2685 19 36500 32500 
5752 2685 76 36500 32500 
5752 2685 19 36500 32500 
5752 2685 19 36500 32500 
5752 2685 19 36500 32500 
5791 2685 19 36500 32500 
5791 2685 19 36500 32500 
5791 2685 19 36500 32500 
5752 2685 19 36500 32500 
5791 2685 19 36500 32500 
5791 2762 76 36500 32500 
5791 2762 76 36500 32500 
5791 2685 19 36500 32500 
5752 2685 19 36500 32500 
5791 2685 19 36500 32500 
5791 2762 19 36500 32500 
5791 2685 19 36500 32500 
5829 2685 19 36500 32500 
5791 2685 19 36500 32500 
5791 2685 19 36500 32500 
5791 2685 19 36500 32500 
5829 2685 19 36500 32500 
5829 2685 19 36500 32500 
5829 2685 19 36500 32500 
5829 2685 19 36500 32500 
5867 2685 19 36500 32500 
5867 2685 19 36500 32500 
5867 2685 19 36500 32500 
5829 2685 19 36500 32500 
5829 2685 19 36500 32500 
5829 2685 19 36500 32500 
5829 2685 19 36500 32500 
5829 2762 19 36500 32500 
5829 2762 19 36500 32500 
5867 2762 19 36500 32500 
5829 2762 19 36500 32500 
5829 2762 19 36500 32500 
5829 2762 19 36500 32500 
5829 2762 19 36500 32500 
5829 2762 19 36500 32500 
5829 2762 19 36500 32500 
5829 2685 19 36500 32500 
5829 2762 19 36500 32500 
5867 2762 19 36500 32500 
5867 2762 19 36500 32500 
5867 2762 19 36500 32500 
5867 2762 19 36500 32500 
5867 2762 19 36500 32500 
5867 2762 19 36500 32500 
5867 2762 19 36500 32500 
5867 2762 19 36500 32500 
5829 2762 19 36500 32500 
5829 2762 19 36500 32500 
5829 2762 19 36000 32500 
5829 2762 19 36000 32500 
5829 2762 19 36000 32500 
5829 2762 19 36000 32500 
5829 2762 19 36000 32500 
5829 2762 19 36000 32500 
5829 2762 19 36000 32500 
5829 2762 19 36000 32500 
5791 2762 19 36000 32500 
5829 2762 19 36000 32500 
5829 2762 19 36000 32500 
5867 2762 19 36000 32500 
5829 2762 19 36000 32500 
5867 2762 19 36000 32500 
5867 2762 19 36000 32500 
5829 2762 19 36000 32500 
5829 2762 19 36000 32500 
5829 2762 19 36000 32500 
5829 2762 19 36000 32500 
5867 2762 19 36000 32500 
5867 2762 19 36000 32500 
5867 2762 19 36000 32500 
5829 2762 19 36000 32500 
5829 2762 19 36000 32500 
5829 2762 19 36000 32500 
5867 2762 19 36000 32500 
5867 2762 19 36000 32500 
5867 2762 19 36000 32500 
5906 2839 19 36000 32500 
5906 2839 19 36000 32500 
5906 2839 19 36500 32500 
5867 2839 19 36500 32500 
5867 2839 19 36500 32500 
5867 2839 19 36500 32500 
5867 2839 19 36500 32500 
5867 2839 19 36500 32500 
5867 2839 19 36500 32500 
5867 2839 19 36500 32500 
