Total_Power Total_CPU_Power Total_GPU_Power CPU_Temperature GPU_Temperature 
2955 307 153 35500 32000 
2993 307 153 35500 32000 
2993 307 153 35500 32000 
3032 307 153 35500 32000 
3109 384 153 35500 32000 
3109 384 153 35500 32000 
3147 384 153 35500 32000 
3185 460 153 35500 32000 
3224 460 153 35500 32000 
3262 460 76 35500 32000 
3301 460 153 35500 32000 
3301 537 76 35500 32000 
3339 537 76 35500 32000 
3339 537 76 35500 32000 
3377 537 76 35500 32000 
3416 614 76 35500 32000 
3416 614 76 35500 32000 
3454 614 76 35500 32000 
3454 614 76 35500 32000 
3454 614 76 35500 32000 
3492 614 76 35500 32000 
3454 614 76 35500 32000 
3454 614 76 35500 32000 
3492 690 76 35500 32000 
3492 691 76 35500 32000 
3492 691 76 35500 32000 
3492 691 76 35500 32000 
3492 691 76 35500 32000 
3454 690 76 35500 32000 
3454 690 76 35500 32000 
3454 767 76 35500 32000 
3492 767 76 35500 32000 
3492 767 76 35500 32000 
3492 767 76 35500 32000 
3492 767 76 35500 32000 
3492 844 76 35500 32000 
3531 844 76 35500 32000 
3531 844 76 35500 32000 
3531 844 76 35500 32000 
3531 844 76 35500 32000 
3531 844 76 35500 32000 
3531 844 76 35500 32000 
3492 844 76 35500 32000 
3492 844 76 35500 32000 
3492 844 76 35500 32000 
3531 844 76 35500 32000 
3531 844 76 35500 32000 
3531 921 76 35500 32000 
3531 921 76 35500 32500 
3531 921 76 35500 32500 
3569 921 76 35500 32500 
3569 921 76 35500 32500 
3569 921 76 35500 32500 
3569 921 76 35500 32500 
3569 921 76 35500 32500 
3569 921 76 35500 32500 
3531 921 76 35500 32500 
3531 921 76 35500 32500 
3569 921 76 35500 32500 
3531 921 76 35500 32500 
3531 921 76 35500 32500 
3531 997 76 35500 32500 
3531 997 76 35500 32500 
3569 997 76 35500 32500 
3569 997 76 35500 32500 
3531 997 76 35500 32500 
3531 997 76 35500 32500 
3531 997 76 35500 32500 
3531 997 76 35500 32500 
3531 997 76 35500 32500 
3531 997 76 35500 32500 
3531 997 76 35500 32500 
3531 997 76 35500 32000 
3531 997 76 35500 32000 
3531 997 76 35500 32000 
3531 997 76 35500 32000 
